,artists,genres
0,"""Cats"" 1981 Original London Cast",['show tunes']
8,"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']"
10,$NOT,"['florida rap', 'underground hip hop', 'vapor trap']"
11,$atori Zoom,"['dark trap', 'meme rap']"
13,$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']"
14,'In The Heights' Original Broadway Company,"['broadway', 'show tunes']"
15,'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']"
16,'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
17,((( O ))),"['experimental hip hop', 'indie soul']"
19,(EM),"['detroit hip hop', 'hip hop', 'rap']"
20,(G)I-DLE,"['k-pop', 'k-pop girl group']"
21,(Hed) P.E.,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']"
22,*NSYNC,"['boy band', 'dance pop', 'europop', 'pop']"
23,*spandrel,['indy indie']
26,...And You Will Know Us by the Trail of Dead,"['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore']"
27,.ex-machina.,"['cyberpunk', 'synthwave']"
29,015B,"['k-indie', 'korean electropop', 'korean pop']"
30,03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
31,070 Shake,"['alternative r&b', 'new jersey rap']"
32,10 Ft. Ganja Plant,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
33,10 Years,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
34,"10,000 Maniacs","['folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']"
36,100 gecs,"['glitchcore', 'hyperpop']"
37,101 Strings Orchestra,"['adult standards', 'easy listening', 'lounge']"
39,10cc,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
40,11/5,"['g funk', 'hyphy']"
41,112,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
43,12 Step Rebels,"['horror punk', 'psychobilly']"
44,12 Stones,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
45,13th Floor Elevators,"['acid rock', 'classic garage rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
47,16BL,"['progressive house', 'progressive trance house', 'tech house']"
50,19 Hz,['progressive trance house']
51,1910 Fruitgum Company,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat']"
54,1927,['la indie']
55,1986 Omega Tribe,['classic city pop']
57,2 Brothers On The 4th Floor,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
58,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
62,2 In A Room,"['hip house', 'latin house', 'vogue']"
63,2 LIVE CREW,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']"
64,2 Pistols,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
65,2 Unlimited,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
68,20 Fingers,"['eurodance', 'hip house']"
69,20-2-Life,['dirty texas rap']
70,20/20,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
76,2000F & J Kamata,['classic dubstep']
77,2002,"['new age', 'operatic pop']"
99,21 Savage,"['atl hip hop', 'rap', 'trap']"
101,24hrs,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']"
102,24kGoldn,['cali rap']
103,27CLUB,"['emo rap', 'sad rap']"
105,2Baba,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop']"
106,2CELLOS,"['bow pop', 'cello', 'classify']"
108,2KBABY,['kentucky hip hop']
110,2NE1,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']"
111,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
113,2Rock,['russian trance']
116,2nd Chapter Of Acts,"['christian music', 'deep christian rock']"
118,2nd II None,"['gangster rap', 'west coast rap']"
119,2nd South Carolina String Band,"['early american folk', 'string band', 'traditional country']"
120,2tone,['kawaii future bass']
121,3,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']"
122,3 Doors Down,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
125,311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']"
126,347aidan,['sad rap']
128,36 Crazyfists,"['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
129,38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
132,3BallMTY,['trival']
134,3LAU,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
135,3LW,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
137,3OH!3,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
138,3Phazegenerator,['dark minimal techno']
139,3T,['baton rouge rap']
140,3X Krazy,"['g funk', 'hyphy', 'west coast rap']"
142,3rd Bass,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
144,3rd Strike,"['nu metal', 'rap rock']"
146,4 Non Blondes,"['new wave pop', 'pop rock']"
147,4 P.M.,"['anime rock', 'vocaloid']"
148,4 Skins,"['oi', 'punk', 'ska']"
149,4 Strings,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance', 'vocal trance']"
151,40 Thieves,"['balearic', 'nu disco']"
152,42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']"
153,42nd Street Ensemble,['broadway']
154,45,['trap soul']
155,45 Grave,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
157,4D,['environmental']
158,4Him,"['christian alternative rock', 'christian music', 'worship']"
160,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
161,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
162,50 Guitars of Tommy Garrett,"['ballroom', 'easy listening']"
163,504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']"
165,54-40,"['canadian indie', 'canadian rock']"
166,5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']"
167,6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
169,69,['miami bass']
170,69 Boyz,['miami bass']
172,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
173,6ix9ine,['emo rap']
174,7 Seconds,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge']"
175,7 Skies,['uplifting trance']
176,7 Year Bitch,"['grunge', 'riot grrrl']"
177,702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
183,8-Bit Arcade,"['8-bit', 'scorecore']"
184,808 State,"['acid house', 'big beat', 'chicago house', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
185,88-Keys,['alternative hip hop']
186,88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
187,88rising,"['asian american hip hop', 'pop']"
188,8Ball,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']"
189,8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
191,8kHz Mono,['futurepop']
192,90sFlav,['lo-fi beats']
193,94 East,['minneapolis sound']
194,98,"['boy band', 'dance pop']"
