,Unnamed: 0,Artist,Genres,Followers,Popularity,Songs,Length
0,0,"""Cats"" 1981 Original London Cast",['show tunes'],212974,67,"['The Phantom Of the Opera', 'All I Ask Of You', 'Think Of Me', 'The Music Of The Night', 'Angel Of Music', 'The Phantom Of The Opera', 'The Point Of No Return', 'I Know I Have A Heart', 'Any Dream Will Do', 'Wishing You Were Somehow Here Again']",10
1,1,"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']",551097,61,"['Amish Paradise (Parody of ""Gangsta\'s Paradise"" by Coolio)', 'White & Nerdy (Parody of ""Ridin\'"" by Chamillionaire feat. Krayzie Bone)', 'Captain Underpants Theme Song', 'The Saga Begins (Lyrical Adaption of ""American Pie"")', 'Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)', 'Word Crimes', 'Who’s Gonna Stop Me (feat. ""Weird Al"" Yankovic)', 'The Hamilton Polka', 'Fat', 'Foil']",10
2,2,$NOT,"['florida rap', 'underground hip hop', 'vapor trap']",3527395,83,"['Blueberry Faygo', 'JETSKI (feat. Lil Mosey & Lil Tecca)', 'Noticed', 'Stuck In A Dream (feat. Gunna)', 'Try Me', 'Kamikaze', 'Enough', 'Holy Water', 'Only The Team (with Lil Mosey & Lil Tjay)', 'Jumpin Out The Face']",10
3,3,$atori Zoom,"['dark trap', 'meme rap']",26950,62,"['BUSTER', 'RIPSTICK', 'LOCK OUT', 'BARRACUDA', 'REVENGE', 'HONEY', 'WOKSTAH', 'L.A. DRIFT', 'TAPOUT', 'PINK DOLPHIN']",10
5,5,'In The Heights' Original Broadway Company,"['broadway', 'show tunes']",424108,79,"['Alexander Hamilton', 'My Shot', 'Aaron Burr, Sir', 'Non-Stop', 'The Room Where It Happens', 'Right Hand Man', 'The Story of Tonight', 'Dear Theodosia', 'Farmer Refuted', 'We Know The Way']",10
7,7,((( O ))),"['experimental hip hop', 'indie soul']",6742066,93,"['Wants and Needs (feat. Lil Baby)', 'On Me', 'Drip Too Hard (Lil Baby & Gunna)', 'Real As It Gets (feat. EST Gee)', 'We Paid (feat. 42 Dugg)', 'Yes Indeed', 'Errbody', 'The Bigger Picture', 'Close Friends (Lil Baby & Gunna)', 'Emotionally Scarred']",10
8,8,(EM),"['detroit hip hop', 'hip hop', 'rap']",16887912,96,"['Lucid Dreams', 'Wishing Well', 'Robbery', 'All Girls Are The Same', 'Come & Go (with Marshmello)', 'Bad Boy (with Young Thug)', 'Bandit (with YoungBoy Never Broke Again)', 'Righteous', 'Hate The Other Side (with Marshmello & The Kid Laroi)', 'Reminds Me Of You']",10
12,12,*spandrel,['indy indie'],42206,67,"['Spa Music (Sleeping Music)', 'Spa Music', 'Massage Therapy', 'Meditation Music', 'Spa Music (Massage Therapy)', 'Yoga Music', 'Music for Spa', 'Study Music', 'Relaxation Music', 'Studying Music']",10
13,13,03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",263767,68,"['Substance', 'Trap House (feat. Shoreline Mafia)', 'Sweet Lady', 'Substance (We Woke Up)', 'Run for Yo Life', 'Disco Shit', 'Never Bend (Remix) (feat. Lil Uzi Vert)', 'Rude', 'In The Morning', 'Run It Back (feat. 03 Greedo)']",10
14,14,070 Shake,"['alternative r&b', 'new jersey rap']",264613,65,"['Guilty Conscience', 'Guilty Conscience - Tame Impala Remix', 'Honey', 'Morrow', 'Glitter', 'Use Me (feat. 070 Shake)', 'Under The Moon', 'Said', 'Flight319', 'Nice To Have']",10
15,15,10 Years,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",485584,61,"['Wasteland', 'Fix Me', 'Novacaine', 'The Shift', 'Beautiful', 'The Unknown', 'Shoot It Out', 'So Long, Good-bye', 'Waiting', 'Fix Me (Acoustic)']",10
17,17,100 gecs,"['glitchcore', 'hyperpop']",402948,68,"['money machine', 'hand crushed by a mallet', 'stupid horse', 'ringtone', 'One Step Closer - 100 gecs Reanimation', 'ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]', 'hand crushed by a mallet (Remix) [feat. Fall Out Boy, Craig Owens, Nicole Dollanganger]', '800 db cloud', 'NEVER MET! - 100 gecs r3mix (feat. Glitch Gum)', 'bloodstains']",10
22,22,1927,['la indie'],3255009,75,"['1979 - Remastered 2012', 'Bullet With Butterfly Wings - Remastered 2012', 'Tonight, Tonight - Remastered 2012', 'Disarm - Remastered', 'Cherub Rock - Remastered 2011', 'Today - Remastered', 'Zero - Remastered 2012', 'Drown', 'Landslide - Remastered', 'Today']",10
24,24,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6259576,83,"[""It's A Vibe"", 'Grey Area', 'We Own It (Fast & Furious)', '4 AM', 'X (with 2 Chainz & Saudi)', 'Champions', 'Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)', 'Alive (with Offset & 2 Chainz)', 'Bigger Than You (feat. Drake & Quavo)', 'Feel A Way (feat. Kanye West & Brent Faiyaz)']",9
28,28,20/20,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']",2855757,91,"['Calling My Phone', 'F.N', 'Headshot (feat. Polo G & Fivio Foreign)', 'Pop Out (feat. Lil Tjay)', 'Sex Sounds', 'Run It Up (feat. Offset & Moneybagg Yo)', 'Leaked', 'Move On - Bonus', 'Zoo York (feat. Fivio Foreign & Pop Smoke)', 'Hold On']",10
30,30,21 Savage,"['atl hip hop', 'rap', 'trap']",2501035,75,"['Opp Stoppa (feat. 21 Savage)', 'Opp Stoppa', 'Bounce Out With That', 'Rubbin off the Paint', '2 Seater (feat. G-Eazy & Offset)', 'Porsches In The Rain', 'Wake Up', 'Fast Car Music (STAIN)', 'Soul Train', 'WooWAM']",10
31,31,24hrs,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",363621,67,"['UCLA', 'I Wanna Know', 'Take It Away', 'Stinger', 'Undo - AWAY Remix', 'Formula', 'Atoms - Said the Sky Remix', 'Take It Away - Alexander Lewis Remix', 'Stay For It', 'Outta Here']",10
32,32,24kGoldn,['cali rap'],956249,87,"['Mood (feat. iann dior)', 'Tick Tock (feat. 24kGoldn)', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'CITY OF ANGELS', 'Coco (feat. DaBaby)', 'VALENTINO', 'Company (feat. Future)', '3, 2, 1', 'Tinted Eyes (feat. blackbear & 24kGoldn)', 'Love Or Lust']",10
33,33,27CLUB,"['emo rap', 'sad rap']",595761,76,"['ROXANNE', 'FML', 'NIGHTRIDER', 'No I in Team', 'Drinking Problem (feat. 27CLUB)', '24', 'Swerve', 'FAST', 'RIP', 'Homies']",10
35,35,2KBABY,['kentucky hip hop'],218501,67,"['Like This', 'Old Streets', 'MAD', 'OLD STREETS (feat. Lil Durk) - Remix', 'Dreaming', 'FAXTS', '2kizzy Flow', 'HALF A MILLI (feat. YFN Lucci)', 'Rounds', 'OLD SOUL (feat. G Herbo)']",10
36,36,2NE1,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",1811082,62,"['I Am The Best', 'COME BACK HOME', 'You and I (Park Bom)', '멘붕 - CL SOLO', 'FIRE', 'Goodbye', 'GOTTA BE YOU', 'Go Away', 'Falling In Love', ""I DON'T CARE""]",9
39,39,3,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",60986881,96,"['positions', '34+35', '7 rings', 'Stuck with U (with Justin Bieber)', 'thank u, next', 'Rain On Me (with Ariana Grande)', 'pov', '34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix', 'motive (with Doja Cat)', 'God is a woman']",10
42,42,347aidan,['sad rap'],179136,73,"['Dancing in My Room', 'Demons and Monsters', 'IDWK', 'WHEN THE DEVIL CRIES', 'Be Happy', 'till the sun comes', 'Sunr!se', 'Live How I Want', 'Elevate', ""Don't Go /:""]",9
45,45,3LAU,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",310144,63,"['Everything', 'Better With You', 'Apocalyptic', 'Tokyo (feat. XIRA)', 'Game Time (feat. Ninja)', 'Touch', 'Into You - 3LAU Remix', 'How You Love Me', 'At Night (with GRABBITZ)', 'Is It Love']",10
47,47,4 Non Blondes,"['new wave pop', 'pop rock']",316224,68,"[""What's Up?"", 'Spaceman', 'Pleasantly Blue', 'Dear Mr. President', 'Morphine & Chocolate', 'Drifting', 'Train', 'Superfly', 'Old Mr. Heffer', 'Calling All The People']",9
49,49,42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']",6742066,93,"['Wants and Needs (feat. Lil Baby)', 'On Me', 'Drip Too Hard (Lil Baby & Gunna)', 'Real As It Gets (feat. EST Gee)', 'We Paid (feat. 42 Dugg)', 'Yes Indeed', 'Errbody', 'The Bigger Picture', 'Close Friends (Lil Baby & Gunna)', 'Emotionally Scarred']",10
50,50,45,['trap soul'],2927545,75,"['Cut the Cord', 'Second Chance', 'DEVIL', '45', 'MONSTERS', 'Sound of Madness', 'State of My Head', 'Diamond Eyes (Boom-Lay Boom-Lay Boom)', 'Simple Man - Acoustic', 'Enemies']",10
51,51,4D,['environmental'],233292,60,"['Clockwork', 'Bloodline', 'Quantum Flux', 'Crash & Burn', '4D', 'Talking Heads', 'Refuge', 'Details Matter', 'Dispossession', 'Freefall']",10
53,53,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
54,54,6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']",271958,65,"['Faygo Dreams', 'Saturn', 'When I Was a Baby', 'Starfire (Teen Titans)', 'Off The Gas (feat. Lil Skies)', 'Buttcheeks', 'Beach House', 'Drifting', 'Post Malone', 'Someone']",10
56,56,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",2855757,91,"['Calling My Phone', 'F.N', 'Headshot (feat. Polo G & Fivio Foreign)', 'Pop Out (feat. Lil Tjay)', 'Sex Sounds', 'Run It Up (feat. Offset & Moneybagg Yo)', 'Leaked', 'Move On - Bonus', 'Zoo York (feat. Fivio Foreign & Pop Smoke)', 'Hold On']",10
57,57,6ix9ine,['emo rap'],5617857,87,"['Swervin (feat. 6ix9ine)', 'Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)', 'Me and My Guitar', 'Drowning (feat. Kodak Black)', 'Look Back at It', 'Jungle', 'Still Think About You', 'Demons and Angels (feat. Juice WRLD)', 'Numbers (feat. Roddy Ricch, Gunna and London On Da Track)', 'My Shit']",10
58,58,7 Skies,['uplifting trance'],1462023,74,"['Kids (feat. MKLA)', 'Scare Me (feat. Karra)', 'Secrets', 'My Best Life (feat. Mike Waters) - Club Mix', 'Around The World (feat. NOUMENN)', 'Power', 'Secrets - Radio Edit', 'Alone (feat. Anjulie & Jeffrey Jey)', 'Do Bad Well (feat. Nevve)', 'Let Me Go (with MKLA)']",10
62,62,88rising,"['asian american hip hop', 'pop']",653374,71,"['La La Lost You - Acoustic Version', 'Midsummer Madness', 'I Love You 3000 II', 'La La Lost You', 'History', 'Indigo', 'Head In The Clouds', 'Walking (feat. Swae Lee & Major Lazer)', 'La Cienega', 'Peach Jam']",10
66,66,98,"['boy band', 'dance pop']",557466,61,"['Put It On', 'Deadly Combination (feat. 2Pac)', 'The Enemy (feat. Fat Joe)', 'MVP', 'Day One (feat. Big L, A.G., Lord Finesse, & O.C.)', '98 Freestyle', 'Street Struck', 'Da Graveyard', 'All Black', '8 Iz Enuff']",10
69,69,999,"['oi', 'pub rock', 'punk']",6046308,88,"['1400 / 999 Freestyle', 'Taking A Walk', 'Tell Me U Luv Me (with Trippie Redd)', 'Blastoff (feat. Juice Wrld & Trippie Redd)', 'Who Needs Love', 'Love Scars', 'PILL BREAKER (feat. blackbear & Machine Gun Kelly)', 'Topanga', '6 Kiss', 'Excitement (feat. PARTYNEXTDOOR)']",10
72,72,?uestlove,['philly rap'],1031400,66,"['You Got Me', 'The Seed (2.0)', 'What They Do', 'The Fire', 'Mellow My Man', 'Wake up Everybody (feat. Common & Melanie Fiona)', 'Guns Are Drawn', 'Right On', 'My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix', 'Little Ghetto Boy (feat. Black Thought)']",10
74,74,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']",5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
75,75,A Day To Remember,"['metalcore', 'pop punk', 'screamo']",1861098,76,"['If It Means A Lot To You', 'The Downfall Of Us All', 'Last Chance To Dance (Bad Friend)', 'All I Want', 'Resentment', 'Everything We Need', 'All Signs Point To Lauderdale', 'Paranoia', 'Mindreader', ""I'm Made Of Wax, Larry, What Are You Made Of?""]",9
77,77,A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",395020,61,"['I Ran (So Far Away)', 'I Ran (So Far Away)', 'Space Age Love Song', 'The More You Live, The More You Love', 'Wishing (If I Had a Photograph of You)', 'I Ran (So Far Away)', 'I Ran (So Far Away) - The KVB Remix', 'I Ran', 'Messages', 'I Ran (So Far Away) (Re-Recorded / Remastered)']",10
79,79,A Perfect Circle,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",1321619,66,"['Judith', 'The Outsider', '3 Libras', 'Weak And Powerless', 'Passive', 'Pet', 'The Noose', 'The Hollow', 'The Doomed', 'Orestes']",10
80,80,A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",356680,68,"['Nostalgic', 'Problems', 'Oceans Away', 'Freaking Out', 'Find Someone', 'Take Her Place (feat. A R I Z O N A)', 'I Was Wrong - Robin Schulz Remix', 'Cross My Mind', 'Cross My Mind, Pt. 2 (feat. Kiiara)', 'Electric Touch']",10
85,85,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",2914061,78,"['Plain Jane', 'Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)', 'Plain Jane REMIX (feat. Nicki Minaj)', 'Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)', 'BANKROLL (feat. A$AP Rocky & A$AP Ferg)', 'Dennis Rodman (feat. Tyga)', 'Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)', 'Shabba (feat. A$AP Rocky)', 'Guilty', 'Move Ya Hips (feat. Nicki Minaj & MadeinTYO)']",10
89,89,A-Mei Chang,"['c-pop', 'mandopop']",2253614,74,"['說好不哭', '告白氣球', '晴天', '等你下課', '安靜', 'Mojito', '珊瑚海', '一路向北', '擱淺', '不該']",10
90,90,A-Trak,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",1004212,68,"['Maps', 'Heads Will Roll', 'Heads Will Roll - A-Trak Remix', 'Heads Will Roll - A-Trak Remix Radio Edit', 'Gold Lion', 'Sacrilege', 'Y Control', 'Date With The Night', 'Zero', 'Pin']",10
91,91,A. R. Qureshi,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']",9189463,72,"['Buttabomma - Telugu', 'Sau Aasmaan', 'Chale Aana (From ""De De Pyaar De"")', 'Main Rahoon Ya Na Rahoon', 'Pehla Pyaar (From ""Kabir Singh"")', 'Jab Tak (From ""M.S.Dhoni - The Untold Story"")', 'Buddhu Sa Mann', 'Dil Mein Ho Tum (From ""Cheat India"")', 'Bol Do Na Zara (From ""Azhar"")', 'Kanti Papa']",10
93,93,A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",11497105,77,"['Jashn-E-Bahaaraa', 'Main Tumhara', 'Kun Faya Kun', 'Enna Sona', 'Jai Ho! (You Are My Destiny)', 'Tere Bina', 'Dil Bechara', 'Taare Ginn', 'Masakali 2.0', 'Love Mashup 2019']",10
94,94,A7S,['scandipop'],134963,83,"['Your Love (9PM)', 'Breaking Me', 'Why Do You Lie To Me (feat. Lil Baby)', 'Breaking Me - HUGEL Remix', 'ily (i love you baby) (Topic Remix) [feat. Emilee]', 'Your Love (9PM) - Tiësto Remix', 'Alien - Topic Remix', 'Like I Love You', 'Breaking Me - Mike Williams Remix', 'Home (feat. Nico Santos) - Alle Farben Remix']",10
97,97,ABBA,"['europop', 'swedish pop']",5534178,81,"['Dancing Queen', 'Gimme! Gimme! Gimme! (A Man After Midnight)', 'Mamma Mia', 'The Winner Takes It All', 'Take A Chance On Me', 'Waterloo', 'Super Trouper', 'Chiquitita', 'Lay All Your Love On Me', 'Voulez-Vous']",10
99,99,ABRA,"['indie cafe pop', 'indie pop', 'pop']",5226503,78,"['Abrázame Muy Fuerte', '¿Por Qué Me Haces Llorar?', 'Ya No Vivo Por Vivir', 'Hasta Que Te Conocí', 'Querida', 'Ya Lo Sé Que Tú Te Vas', 'Caray', 'Yo Te Recuerdo - Version Salsa', 'Querida', 'El Noa Noa']",10
106,106,AJJ,"['acoustic punk', 'anti-folk', 'folk punk']",175839,60,"['Brave as a Noun', 'Body Terror Song', 'Bad Bad Things', 'People Ii: The Reckoning', 'Rejoice', 'Distance', 'Survival Song', 'Self Esteem', 'Daddy', 'Big Bird']",10
108,108,AJZ,['serbian hip hop'],27192042,95,"['Relación - Remix', 'UN DIA (ONE DAY) (Feat. Tainy)', 'Una Locura', 'LOCATION', 'LA CANCIÓN', 'Tu Veneno', 'I Like It', 'De Cora <3', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'Azul']",10
113,113,ALO,"['pop soul', 'r&b']",213768,72,"['Dead and Cold', 'Alone', 'Walk Away', 'Memory', 'Midnight Thoughts', 'Heartbreak', 'Not Enough', 'Bad Habits', 'Worried', 'Just Like You Do']",10
115,115,APB,['scottish new wave'],5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
117,117,APRE,"['english indie rock', 'kent indie']",155137,63,"['Dolly, Op.56: 1. Berceuse', 'Après un rêve, Op. 7, No. 1', 'Trois Romances sans paroles, Op.17: 3. Andante moderato', 'Après un rêve, Op.7, No.1 (Arr. Cello & Piano)', 'Pavane, Op. 50 (Version for Piano)', 'Fauré: Pavane in F-Sharp Minor, Op. 50', 'Fauré: Pavane, Op. 50', 'Elégie in C Minor, Op. 24 (Arr. Parkin)', 'Pavane, Op. 50', '3 Romances sans paroles, Op. 17: No. 3, Andante moderato in A-Flat Major']",10
118,118,ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",158407,65,"['Crave You - Adventure Club Remix', 'Crave You', 'Clair De Lune', 'Need You', 'Better Than Ever (feat. Aloe Blacc)', 'All Your Love', 'Foreign Language', 'Vintage - Flight Facilities Remix', 'Foreign Language - Flight Facilities Extended Mix', 'Sunshine']",10
119,119,ASIAN KUNG-FU GENERATION,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk']",766510,65,"['遥か彼方', 'Re:Re: (Single ver.)', 'ブラッドサーキュレーター', 'Re:Re:', 'リライト', 'アフターダーク', 'Dororo', '触れたい 確かめたい', 'ソラニン', 'それでは、また明日']",10
120,120,ASP,"['deep big room', 'pop edm', 'russian dance']",1573446,77,"['Case Closed', 'Penguins', 'On the River', 'Sunshine', 'Major', 'No Sense (feat. Key Glock)', 'What u see is what u get', 'Water on Water on Water', 'RNB (feat. Megan Thee Stallion)', 'Cheat Code']",10
122,122,AUGUST 08,"['la pop', 'r&b']",1771861,73,"['Midsummer Madness', 'Gospel', 'History', 'Drive Safe', 'Dat $tick', '100 Degrees', 'Sydney', 'Introvert (feat. Joji)', 'BALI', 'Glow Like Dat']",10
124,124,AVCI,"['karadeniz halk muzigi', 'turkish pop', 'turkish trap pop']",1272110,72,"['Mr. Jones', 'Accidentally In Love', 'A Long December', 'Big Yellow Taxi', 'Round Here', 'Hanginaround', 'Colorblind', 'Rain King', 'Omaha', 'Mr. Jones - Live At Chelsea Studios, New York/1997']",10
126,126,AWOLNATION,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",1906477,69,"['Sail', 'Carry On', 'Run', 'Disco Body Parts (feat. AWOLNATION)', 'The Best', 'The Best (feat. Alice Merton)', 'I\'m On Fire - From ""Fifty Shades Of Grey"" Soundtrack', 'Kill Your Heroes', 'Hollow Moon (Bad Wolf)', 'Woman Woman']",10
127,127,AZ,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",27192042,95,"['Relación - Remix', 'UN DIA (ONE DAY) (Feat. Tainy)', 'Una Locura', 'LOCATION', 'LA CANCIÓN', 'Tu Veneno', 'I Like It', 'De Cora <3', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'Azul']",10
139,139,Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'ranchera', 'regional mexican']",365881,64,"['Todo Me Gusta De Ti', 'Te Vas', 'Destilando Amor', 'No Voy A Llorar', 'El Embrujo', 'Embrujo', 'No Voy A Llorar', 'Destilando Amor', 'Y Te Has Marchado', 'Pasion Colombiana']",10
140,140,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",790429,63,"['The Law (feat. Mac Miller & Rapsody)', 'Bloody Waters (with Anderson .Paak & James Blake)', 'Who Wants What', 'Illuminate (feat. Kendrick Lamar)', 'Dangerookipawaa Freestyle', 'D.R.U.G.S.', 'Terrorist Threats (feat. Danny Brown & Jhene Aiko)', 'Gods Reign (feat. Sza)', 'Back At It', 'Lonely Soul (feat. Punch) / / / The Law (Prelude) [feat. SZA]']",10
144,144,Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",647419,68,"['Night Light', 'Strength From Inside', 'Blue Monday', 'The Sound of Goodbye - Above & Beyond UK Edit', 'I Saw Good', 'Good For Me - ALPHA 9 Remix', 'See The End', 'Sun In Your Eyes - Spencer Brown Edit', 'Sun & Moon - Original Mix', 'Love Is Not Enough - Hybrid Minds Remix']",10
145,145,Above The Law,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap']",1177499,64,"['Fast Lane', 'Lighters', 'Above The Law', 'Echo', 'Welcome 2 Hell', 'Take From Me', 'Raw', 'The Reunion', 'All I Think About', 'Living Proof']",10
147,147,Absofacto,"['indie psych-pop', 'shimmer psych']",102373,65,"['Dissolve', 'Someone Else’s Dream', 'All The Things She Said', 'Childhood Dreams', 'POP/STARS', 'Dissolve - acoustic', 'MoneyOnMyMind', 'Made Me This Way', 'Someone Else’s Dream (Trinix Remix)', 'Dissolve - JBroadway Remix']",10
149,149,Academy of Ancient Music,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
150,150,Academy of St. Martin in the Fields,"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
151,151,Academy of St. Martin in the Fields Chorus,['choral'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
153,153,Accademia I Filarmonici,['italian baroque ensemble'],1749719,74,"['Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)', 'The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto', 'The Four Seasons - Summer in G Minor, RV. 315: III. Presto', 'Vivaldi: Violin Concerto in G Minor, RV 315 ""L\'estate"" (No. 2 from ""Il cimento dell\'armonia e dell\'inventione"", Op. 8): III. Presto', 'The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto', 'Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 2. Largo (Arr. for Guitar)', 'Concerto For 2 Mandolins, Strings And Continuo In G, RV 532: 3. Allegro', 'Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro', 'Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto', 'Nulla in mundo pax, RV 630: 1. Nulla in mundo pax']",10
154,154,Accept,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",10080523,91,"['Life Is Good (feat. Drake)', 'Mask Off', 'Drankin N Smokin', 'Company (feat. Future)', 'Fine China', 'Low Life (feat. The Weeknd)', 'Hard For The Next (with Future)', 'Jumpman', 'Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)', 'FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX']",10
