,Unnamed: 0,Unnamed: 0.1,Artist,Genres,Followers,Popularity,Songs,Length
25,49,49,42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']",6742066,93,"['Wants and Needs (feat. Lil Baby)', 'On Me', 'Drip Too Hard (Lil Baby & Gunna)', 'Real As It Gets (feat. EST Gee)', 'We Paid (feat. 42 Dugg)', 'Yes Indeed', 'Errbody', 'The Bigger Picture', 'Close Friends (Lil Baby & Gunna)', 'Emotionally Scarred']",10
30,56,56,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",2855757,91,"['Calling My Phone', 'F.N', 'Headshot (feat. Polo G & Fivio Foreign)', 'Pop Out (feat. Lil Tjay)', 'Sex Sounds', 'Run It Up (feat. Offset & Moneybagg Yo)', 'Leaked', 'Move On - Bonus', 'Zoo York (feat. Fivio Foreign & Pop Smoke)', 'Hold On']",10
37,74,74,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']",5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
53,115,115,APB,['scottish new wave'],5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
61,127,127,AZ,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",27192042,95,"['Relación - Remix', 'UN DIA (ONE DAY) (Feat. Tainy)', 'Una Locura', 'LOCATION', 'LA CANCIÓN', 'Tu Veneno', 'I Like It', 'De Cora <3', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'Azul']",10
68,150,150,Academy of St. Martin in the Fields,"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
69,151,151,Academy of St. Martin in the Fields Chorus,['choral'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
72,156,156,Ace,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",27192042,95,"['Relación - Remix', 'UN DIA (ONE DAY) (Feat. Tainy)', 'Una Locura', 'LOCATION', 'LA CANCIÓN', 'Tu Veneno', 'I Like It', 'De Cora <3', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'Azul']",10
85,189,189,Adrianne Pieczonka,['classical soprano'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
95,222,222,Aim,"['chillhop', 'lo-fi beats']",5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
