,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL
8998,8998,Khan,0.0016699999999999,0.713,327087.0,0.505,0.623,0.0823,-9.946,0.0366,121.024,0.449,0.0,1,1,2,"['dance pop', 'disco', 'funk', 'motown', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']","[""Ain't Nobody"", ""I'm Every Woman"", 'I Feel for You', 'Like Sugar', 'Through the Fire', ""I'm Every Woman"", 'Love Me Still', 'Fate - WSM Compilation Edit', 'Move Me No Mountain', 'Nobody (with Chaka Khan)']",1110579,69,6mQfAAqZGBzIfrmlZCeaYT,https://i.scdn.co/image/c772d0950c5b1b9a0d867980c4b86df665cda9f0
17896,17896,Varnay,0.9697,0.2174666666666666,283115.56666666665,0.1824133333333333,0.1484222049999999,0.4285333333333333,-20.913133333333327,0.0532533333333333,92.7434,0.1160766666666666,0.0,2,1,30,['classical soprano'],"[""Andrea Chénier / Act 1: Il giorno intorno già s'insera lentamente! ... Via,"", 'Andrea Chénier / Act 1: Passiamo la sera allegramente! ... O Pastorelle addio!', 'Andrea Chénier / Act 1: Soffoco, moro tutta chiusa', 'Andrea Chénier / Act 1: Perdonatemi! ... La notte il giorno portiamo', 'Andrea Chénier / Act 1: Al mio dire perdono', 'Siegfried, WWV 86c, Act II: Act II Scene 2: Ha ha! Da hatte mein Lied (Siegfried, Fafner)', 'Götterdämmerung, Act III: Siegfried, Siegfried erschlagen', 'Götterdämmerung / Prologue: ""Zu neuen Taten, teurer Helde"" - ""O heilige Götter"" (Brünnhilde, Siegfried)', 'Götterdämmerung / Dritter Aufzug: ""Starke Scheite schichtet mir dort""', ""Die Walkure: Act III: Frag' deine Tat (Wotan)""]",978,18,3d1Z9cAzU0KA1NMkfN4WZG,https://i.scdn.co/image/434c935484be4c754ea8050f4befce4a91b96df3
15367,15367,St James,0.0133,0.3670000000000001,190705.0,0.931,2.98e-06,0.176,-5.6160000000000005,0.0562,126.851,0.691,0.0,5,0,2,"['ccm', 'christelijk', 'christian alternative rock', 'christian music', 'worship']","[""Battle Is the Lord's"", 'TOGETHER (Acoustic Version)', 'Dawn', ""Battle Is the Lord's - Live"", 'Breathe', 'Wait For Me', 'God', 'God Of Wonders', 'Above All', 'You Make Everything Beautiful']",89329,46,1SaELUYn7deVoQ9kGDGUD9,https://i.scdn.co/image/4f7faac7d82e4d74f58e8f3c86b257acec2c490a
10460,10460,MaRLo,0.01350476,0.5280204081632653,91803.7551020408,0.879265306122449,0.485693295510204,0.3853020408163266,-6.956040816326532,0.1064408163265305,132.99216326530615,0.4059591836734693,11.26530612244898,11,1,49,"['contemporary country', 'country pop']","[""Burn 'Em All"", 'Giving You Up', 'Giving You Up - Acoustic', 'Sober as a Drunk', ""Leavin' to Me"", 'Take You Up On It', ""Goin' There Today"", 'Hungover', 'Sober as a Drunk - Radio Edit']",18545,63,31n3CN1jSC5ALUJ9dwT8UI,https://i.scdn.co/image/0ecabd6632091afe5a60b392045b647c91dc1b9c
17010,17010,The Soul Searchers,0.121,0.474,335771.0,0.865,0.0332,0.679,-6.386,0.135,192.506,0.804,27.0,5,0,2,['go-go'],"[""Bustin' Loose"", ""If It Ain't Funky"", ""It Don't Mean a Thing - If It Don't Have the Go Go Swing - Live"", 'Run Joe', 'Never Gonna Give You Up', 'Blow Your Whistle', ""Ashley's Roach Clip"", ""Moody's Mood - Live"", 'Woody Woodpecker - Live', 'Family Affair - Live']",7842,34,1Y3CPuN46EPIT3wCTDzPZu,https://i.scdn.co/image/ab67616d0000b273f7df3a0af7ca14690e7578c3
17434,17434,Tommy Bolin,0.2713,0.5725,236853.5,0.7195000000000001,0.0130775,0.224475,-8.124250000000002,0.0538999999999999,108.61675,0.74625,25.25,7,1,8,"['blues rock', 'classic rock', 'hard rock']","[""Bustin' Out For Rosey"", 'Sweet Burgundy', 'Stratus - Remix/Single Edit', 'Wild Dogs', ""Bustin' out for Rosey - Alternate Version"", 'Hello Again - Outtake - No Strings', 'Teaser', 'Gypsy Soul - Outtake', 'Shake the Devil - Alternate Mix', 'People People']",38871,32,5FCC6oo9PupahFuLGEPdMB,https://i.scdn.co/image/bba71c8b7e07f7bee93f9a6717cefdcdc42d6ca2
10447,10447,MINO,0.00537,0.82,248203.0,0.61,0.0,0.158,-4.23,0.0567,126.022,0.305,70.0,8,1,1,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'pop dance']","[""Can't Get You out of My Head"", 'Real Groove - Studio 2054 Remix', 'Magic', 'Real Groove (feat. Dua Lipa) - Studio 2054 Initial Talk Remix', 'In Your Eyes', 'Real Groove', 'Where the Wild Roses Grow - 2011 - Remaster', 'Say Something', 'The Loco-Motion', 'Spinning Around']",1255706,74,4RVnAU35WRWra6OZ3CbbMA,https://i.scdn.co/image/471aae2bc20f974dbf573adeba5c3e00b9a6dd7b
13234,13234,Pr,0.00409,0.696,246942.0,0.9,0.000153,0.122,-4.985,0.0322,128.016,0.884,0.0,5,0,2,"['adult standards', 'rock-and-roll', 'rockabilly']","[""Can't Help Falling in Love"", 'Suspicious Minds', 'Jailhouse Rock', 'Burning Love', 'Hound Dog', 'Always On My Mind', 'In the Ghetto', 'A Little Less Conversation - JXL Radio Edit Remix', ""(You're The) Devil In Disguise"", 'Always on My Mind - with The Royal Philharmonic Orchestra']",5319897,80,43ZHCT0cAZBISjO8DG9PnE,https://i.scdn.co/image/5629fbf1c4e0bc4155eca3e08a2b98065eedd305
14281,14281,Ryan,0.14884,0.7541666666666668,171253.33333333337,0.7826666666666666,0.0,0.1114833333333333,-5.4099999999999975,0.0926,120.73516666666669,0.7376666666666667,58.83333333333334,9,1,6,"['dance pop', 'pop', 'pop dance', 'pop rap', 'seattle hip hop']","[""Can't Hold Us - feat. Ray Dalton"", 'Wing$', 'Same Love - feat. Mary Lambert', 'Otherside (feat. Fences) [Ryan Lewis Remix]', 'Neon Cathedral - feat. Allen Stone', 'Gold - feat. Eighty4 Fly', 'Ten Thousand Hours', 'Cowboy Boots', 'BomBom - feat. The Teaching', 'Vipassana (Ryan Lewis Remix)']",2562381,78,5BcAKTbp20cv7tC5VqPFoC,https://i.scdn.co/image/aa77c545af000003e22621637813e2e7c65c4203
14290,14290,Ryan Lewis,0.067825,0.7894999999999999,246034.5,0.61075,3.025e-07,0.1801,-5.9795,0.1991,104.0505,0.7190000000000001,66.75,6,1,4,"['dance pop', 'pop', 'pop dance', 'pop rap', 'seattle hip hop']","[""Can't Hold Us - feat. Ray Dalton"", 'Wing$', 'Same Love - feat. Mary Lambert', 'Otherside (feat. Fences) [Ryan Lewis Remix]', 'Neon Cathedral - feat. Allen Stone', 'Gold - feat. Eighty4 Fly', 'Ten Thousand Hours', 'Cowboy Boots', 'BomBom - feat. The Teaching', 'Vipassana (Ryan Lewis Remix)']",2562381,78,5BcAKTbp20cv7tC5VqPFoC,https://i.scdn.co/image/aa77c545af000003e22621637813e2e7c65c4203
