,Artist,Genres,Followers,Popularity
0,"""Cats"" 1981 Original London Cast",['show tunes'],212974,67
1,"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']",551097,61
2,$NOT,"['florida rap', 'underground hip hop', 'vapor trap']",3527395,83
3,$atori Zoom,"['dark trap', 'meme rap']",26950,62
4,$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']",3120275,85
5,'In The Heights' Original Broadway Company,"['broadway', 'show tunes']",424108,79
6,'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']",18894,55
7,'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",100628,47
8,((( O ))),"['experimental hip hop', 'indie soul']",6742066,93
9,(EM),"['detroit hip hop', 'hip hop', 'rap']",16887912,96
10,(G)I-DLE,"['k-pop', 'k-pop girl group']",1061735,73
11,(Hed) P.E.,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']",144673,53
12,*NSYNC,"['boy band', 'dance pop', 'europop', 'pop']",1475782,71
13,*spandrel,['indy indie'],42206,67
14,...And You Will Know Us by the Trail of Dead,"['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore']",60597,42
15,.ex-machina.,"['cyberpunk', 'synthwave']",231251,50
16,015B,"['k-indie', 'korean electropop', 'korean pop']",21610,46
17,03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",263767,68
18,070 Shake,"['alternative r&b', 'new jersey rap']",264613,65
19,10 Ft. Ganja Plant,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']",53710,49
20,10 Years,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",485584,61
21,"10,000 Maniacs","['folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']",257026,55
22,100 gecs,"['glitchcore', 'hyperpop']",402948,68
23,101 Strings Orchestra,"['adult standards', 'easy listening', 'lounge']",22023,45
24,10cc,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",460069,65
25,11/5,"['g funk', 'hyphy']",61716,52
