,Artist,Genres,Followers,Popularity,Songs
0,"""Cats"" 1981 Original London Cast",['show tunes'],212974,67,"['The Phantom Of the Opera', 'All I Ask Of You', 'Think Of Me', 'The Music Of The Night', 'Angel Of Music', 'The Phantom Of The Opera', 'The Point Of No Return', 'I Know I Have A Heart', 'Any Dream Will Do', 'Wishing You Were Somehow Here Again']"
1,"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']",551097,61,"['Amish Paradise (Parody of ""Gangsta\'s Paradise"" by Coolio)', 'White & Nerdy (Parody of ""Ridin\'"" by Chamillionaire feat. Krayzie Bone)', 'Captain Underpants Theme Song', 'The Saga Begins (Lyrical Adaption of ""American Pie"")', 'Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)', 'Word Crimes', 'Who’s Gonna Stop Me (feat. ""Weird Al"" Yankovic)', 'The Hamilton Polka', 'Fat', 'Foil']"
2,$NOT,"['florida rap', 'underground hip hop', 'vapor trap']",3527395,83,"['Blueberry Faygo', 'JETSKI (feat. Lil Mosey & Lil Tecca)', 'Noticed', 'Stuck In A Dream (feat. Gunna)', 'Try Me', 'Kamikaze', 'Enough', 'Holy Water', 'Only The Team (with Lil Mosey & Lil Tjay)', 'Jumpin Out The Face']"
3,$atori Zoom,"['dark trap', 'meme rap']",26950,62,"['BUSTER', 'RIPSTICK', 'LOCK OUT', 'BARRACUDA', 'REVENGE', 'HONEY', 'WOKSTAH', 'L.A. DRIFT', 'TAPOUT', 'PINK DOLPHIN']"
4,$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']",3120275,85,"['...And to Those I Love, Thanks for Sticking Around', 'Kill Yourself (Part III)', 'Paris', ""Runnin' Thru the 7th with My Woadies"", '2nd Hand', 'For the Last Time', 'My Flaws Burn Through My Skin Like Demonic Flames from Hell', '$Outh $Ide $Uicide', 'Carrollton', 'Lte']"
5,'In The Heights' Original Broadway Company,"['broadway', 'show tunes']",424108,79,"['Alexander Hamilton', 'My Shot', 'Aaron Burr, Sir', 'Non-Stop', 'The Room Where It Happens', 'Right Hand Man', 'The Story of Tonight', 'Dear Theodosia', 'Farmer Refuted', 'We Know The Way']"
6,'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']",18894,55,"['There! Right There!', 'Omigod You Guys', 'So Much Better', 'Legally Blonde', 'What You Want', 'Bend and Snap', 'Chip on My Shoulder', 'Positive', 'Giddy On Up', 'Serious']"
7,((( O ))),"['experimental hip hop', 'indie soul']",6742066,93,"['Wants and Needs (feat. Lil Baby)', 'On Me', 'Drip Too Hard (Lil Baby & Gunna)', 'Real As It Gets (feat. EST Gee)', 'We Paid (feat. 42 Dugg)', 'Yes Indeed', 'Errbody', 'The Bigger Picture', 'Close Friends (Lil Baby & Gunna)', 'Emotionally Scarred']"
8,(EM),"['detroit hip hop', 'hip hop', 'rap']",16887912,96,"['Lucid Dreams', 'Wishing Well', 'Robbery', 'All Girls Are The Same', 'Come & Go (with Marshmello)', 'Bad Boy (with Young Thug)', 'Bandit (with YoungBoy Never Broke Again)', 'Righteous', 'Hate The Other Side (with Marshmello & The Kid Laroi)', 'Reminds Me Of You']"
9,(G)I-DLE,"['k-pop', 'k-pop girl group']",1061735,73,"['MORE', 'POP/STARS', 'VILLAIN', 'THE BADDEST', 'DRUM GO DUM', ""I'LL SHOW YOU""]"
