,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"""Cats"" 1981 Original London Cast",0.04426982941381068,0.21233099248117918,0.1292683281057704,-0.07875964401519295,0.16336445140257172,-0.05738087968150496,0.06132887040833244,0.002629667559195046,0.053846767181423213,-0.34033811541388803,0.15174121443629707,-0.31489081830816806,0.11054759558155347,-0.24525264702885152,0.15717503872752978,0.0032998867470633362,0.006312806758154011,0.016251926544221112,0.0943618150103213,0.39150345342471343,-0.19146402429689388,0.1592678643574967,0.05117619001024563,-0.21860925883150417,-0.10076018053538559,-0.12977481735856886,0.0897828675104744,-0.03143086552122795,0.15302965788880904,-0.06127900631136996,0.3800809978775953,-0.02037416497398523,-0.14096984351849845,0.16130658950340476,0.010850069900428912,0.11882191896303118,0.03691379280603089,-0.046858886448158305,0.011861087589499197,0.10705434979127253
"""Weird Al"" Yankovic",0.053722404076069305,0.2158933582002267,0.08395728087453071,-0.06754591176749725,0.13225853193843853,-0.04698142062448524,0.10252847018217982,-0.04232841531287973,0.06159790878362055,-0.338907813327338,0.16931063085887293,-0.3213485361742842,0.11306633015832374,-0.2440448776245443,0.1718044558915057,0.010890691289349599,0.030681377448602408,0.030724122884829574,0.07333710608855208,0.3840374958802143,-0.22363827796628405,0.1600867781948842,0.05052483901429232,-0.19651624465905004,-0.1068520234999819,-0.11913613255669415,0.0986005630473029,-0.040994830869702126,0.1335685775478387,-0.08165577811341286,0.37428846659838066,0.02323648035049491,-0.1660357123113047,0.162324767167691,0.031095292532059525,0.11213101417391569,0.015536736731373289,-0.024786409538014503,0.016857230238036616,0.10961635189467528
$NOT,-0.0058410790016065,-0.22247942976093654,-0.05786140389656369,0.07336853969412029,-0.14315063042222256,0.05718651908612456,-0.07946965072910273,0.02134810976489169,-0.07289815762886923,0.35947473786139134,-0.18896575037428454,0.3479922125379229,-0.12589244721658854,0.24979445829858682,-0.18853480106138348,0.0019186503882360803,-0.018781176795085494,-0.014301134021041956,-0.09723017244461497,-0.3584085129921836,0.2456029967387215,-0.19340225722422333,-0.03211250139602821,0.14555029924715993,0.11528500388067349,0.061625260191186186,-0.05602257030266065,-0.051622115778809395,-0.0903997410969877,0.01720757439696682,-0.34928543308056054,0.042813071232193724,0.12410163295812379,-0.2113405926379002,-0.03673708995609224,-0.12789856614920428,-0.02781982374701773,0.05540935016868472,-0.01451255178133332,-0.10312910281675335
$atori Zoom,-0.05809084321086407,-0.2221253935767884,-0.14314238814520666,0.09062608553318663,-0.14959190036174033,0.055982237867853106,-0.06306124031985673,0.042865625853447824,-0.04369634633272346,0.34095296634742095,-0.16592949175197327,0.33434292893616374,-0.1063025429958919,0.25784715580633344,-0.15761714610039282,-0.010784139168365426,0.001071719953858122,-0.026309277096746325,-0.0924604496448874,-0.38081025307272,0.18396583399162308,-0.12621593443508689,-0.03978999153844892,0.19965095693936524,0.10126343796527788,0.10689637196246594,-0.10003523946855947,0.025894079283687595,-0.15492452240370594,0.06510385532974704,-0.37073594348261346,0.011965792531239913,0.13796859787107454,-0.19305823914805045,0.0037210695842351906,-0.10327438826653211,-0.05327318914460229,0.023257196524529167,-0.022835387547752963,-0.1117405982482305
'In The Heights' Original Broadway Company,-0.12829002752645136,-0.18550678146617014,-0.29423557497367553,0.119100796728282,-0.1739283977446476,0.07540905529510461,0.013363782314758973,-0.04936763928009927,-0.023009525717815553,0.2997638131031132,-0.07307354517965511,0.22334912236277446,-0.03868545151578878,0.19684345188120453,-0.12632618831030923,-0.046921182241400836,0.028579100311515532,-0.05916596599138501,-0.0831165052126064,-0.4010791715094256,0.1227272462816076,-0.1047632318090469,-0.07646497091286805,0.2793744176006842,0.0906865852751023,0.1652744386543042,-0.1228630066445524,0.07757896560447607,-0.18425687302721955,0.0889064458269877,-0.3916146998494312,-0.0016429207162468944,0.16295492885514498,-0.14333585290464465,-0.011492502654946266,-0.11182572208452587,-0.041869117085014625,0.035031447404446685,-0.0070628418813948254,-0.095579312443507
((( O ))),-0.037633610311335025,-0.223238434877927,-0.0939562727635084,0.08147534503024356,-0.14480792711793145,0.05938091086910868,-0.07138081953945388,0.03974055968388641,-0.06564388474213001,0.3400951503499647,-0.16580790516024735,0.34595089622351355,-0.11582461375515517,0.2516295011380553,-0.19247467275608515,0.011364583576327374,-0.028618177945912846,-0.008078003822849227,-0.10159847857925411,-0.3552704780454917,0.19951591945806543,-0.14013033559060936,-0.05166942190771093,0.2059258571004667,0.1007247758470378,0.11775994428834985,-0.12109448612901962,0.02664976457665505,-0.13699345914618974,0.08048088484921172,-0.36762768546487884,0.016199137810184682,0.1374552833872241,-0.16696883049775738,-0.016773431053967718,-0.13050257355381756,-0.028091597188067058,0.0321087799243905,-0.0169739288905228,-0.11347680695110204
(EM),0.06935868260522543,0.21525269345930065,0.161380068190753,-0.08532064888390349,0.1498484299480781,-0.05802856610992433,0.0387689333963766,0.005404260472634542,0.03731412470554525,-0.3490471183131143,0.129441000736539,-0.2616701415893939,0.0859293520315872,-0.22573591978800503,0.1558982513974302,0.035612673172035314,-0.018444206691848423,0.06637531181696363,0.06897400929286043,0.3909445452042187,-0.19777601516136795,0.14969893990114946,0.06808986712861119,-0.2329814768807091,-0.11312881026380327,-0.10622994226717072,0.11530098152088954,-0.04088586376075856,0.17672376920112753,-0.06731772847641507,0.3878038486140632,-0.01658034257609824,-0.13832738589667207,0.1980869052315633,0.016348835148051934,0.12501910778409553,0.028640252734226327,-0.03276165921043266,0.017098491618887934,0.10533617608943639
*spandrel,0.001014990560568836,-0.21983572652676583,0.02033495812841015,0.042905256974950616,-0.1291092601114103,0.05190381585487671,-0.10548583321263941,0.07787826346465851,-0.06431902011018782,0.3471185226851652,-0.21298293760702453,0.3834499787485085,-0.12484655848189692,0.2551871899482129,-0.19907776335151942,0.013699763492425677,-0.060731140090003626,0.04022777000125843,-0.07982076259981048,-0.3552265448145058,0.252222388005767,-0.18923895577981562,-0.02704171170340421,0.10636993459986649,0.11853627650154183,0.045609044810922206,-0.07679896051523366,-0.009504082201305534,-0.09019639146907646,0.02023680771711705,-0.33516321383274067,0.04607877667244132,0.10472717010457312,-0.20334675845348635,-0.03948727994896403,-0.11708069892969557,-0.021877521353358634,0.028071776099888698,-0.014924857161435613,-0.10852367462246996
03 Greedo,-0.0891943781778166,-0.22287450854584367,-0.2143873115233979,0.10029671287564355,-0.1551598519994091,0.06458600361736828,0.0016335436934545734,-0.02346363244939155,-0.04608665047955815,0.33113259548558244,-0.12488275825163626,0.2694889312585101,-0.08877678600315447,0.22904625840613912,-0.15457040275092718,-0.03761095555433507,0.009739974362820338,-0.042458455244345994,-0.05941674730468769,-0.37019340773994996,0.2063865369340948,-0.1492561707779305,-0.056630336634025676,0.2322832531968111,0.11860550688937055,0.11497919954964723,-0.09533292684126925,0.01740246720285806,-0.13225302690181007,0.06799509222024339,-0.3758727562792538,0.02530712475742662,0.1508513525842507,-0.20890208863708723,-0.02727047272195393,-0.15260750522273234,-0.033577951645383686,0.02213579178007109,-0.01969945344955825,-0.11938760450917876
070 Shake,-0.11719507600504392,-0.18351223572463274,-0.2563300282669411,0.10485768491385258,-0.17081736867526862,0.05888779685775365,0.00044811224067733345,-0.03314091114573099,-0.025619454805567356,0.312114255230316,-0.09550682145134098,0.2781362367767992,-0.06343999965876161,0.22905884912807656,-0.14540854835723682,-0.03429007082170446,0.011137732272903713,-0.05783963958484449,-0.08378173426696257,-0.3939853322811781,0.16353555994817998,-0.12508247081742455,-0.054281646173874376,0.2559196316431335,0.11084712959143382,0.12320240019948786,-0.1296099746920931,0.06669910323592178,-0.16669769146529237,0.0811150673444785,-0.37691540832656006,-0.009357100145868432,0.15243144772146977,-0.16238040630449266,-0.008562219107737818,-0.12395164075197569,-0.04318295895698416,0.03173586240653352,8.885920953092965e-05,-0.09533265428976426
