,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Ayumi Hamasaki,0.01195117840352522,0.047387820793305654,0.006099747784803429,-0.011163117921365722,-0.0008027067606740964,0.025580527551804684,0.08237671545112266,-0.0757386364173526,0.11590426438446744,-0.003593172979327734,-0.4916787798938605,0.37527048531424495,0.4536199481867802,-0.16121282874289136,-0.5277170347925292,-0.0025861226569506355,-0.019952191251597414,0.016487671304122025,0.015772367946324535,-0.09941945763903022,0.1197574369349909,-0.11443476193544036,-0.10426618708917419,-0.004030600346812447,-0.01290874211853009,-0.0033392003197631084,0.023302134180966633,-0.08042740403721095,-0.03898617785869709,-0.0029332377533873924,0.06762697231922457,-0.11981263752523705,-0.023697172290847553,0.01743906624475408,-0.002677600440956384,0.0016047309488278717,-1.9849203980715086e-06,-0.00043181417266278114,-0.010649806849325504,0.015299284164912575
Soulja Boy,0.2807631118949902,-0.18756792288036633,-0.20641090174489396,0.11162036896786204,-0.08695870090570258,-0.06590745275583458,0.031953082188527195,0.11802051709185205,-0.4167006897376099,0.3250985656323371,0.07893055535806197,-0.4657092266230691,0.2410171964606746,-0.3549524069961271,-0.10559542425552217,-0.051280718665527,-0.07164136382618609,0.039486426736081826,0.004362832244614688,0.019701710047741076,-0.05153082691675712,0.03730803833537055,-0.06201849140509512,0.025420950184286945,0.011364023039143727,0.009382114130476248,-0.09500447781787712,0.025551310250072803,-0.004298103895188141,-0.030011016799943106,0.10025434693662935,-0.07636958557874789,0.04336359004542106,-0.17703484924478463,-0.016546073553988804,-0.06276068526060667,-0.09058317870321332,0.004101614654732458,0.08005979204051565,0.09676254825088047
Kontrafakt,0.08408658013776749,-0.3198948858042758,-0.14477711048368438,0.15975988743316918,-0.01783842306268397,-0.2287256383649975,-0.17926362427259152,0.12318047786051746,0.10119705586256635,0.002026949300898657,0.037739345029821396,-0.021046853666608068,-0.2721178628141188,-0.050280335071182014,0.15776497743394494,0.03569353306766526,0.008395235217643522,-0.3757138665880679,0.141749201134218,-0.0887198968027734,0.13015907643918773,-0.1845062054299658,-0.1890513415203195,-0.0854700194848287,0.00516274032872532,-0.013685626580313883,0.138670865744289,-0.3504634622925714,-0.18367712791882623,-0.101092600435111,0.33967160006515196,-0.21921562257203014,0.12030155882026876,0.013620085099624406,-0.004961188622103885,-0.011968867825966551,-0.01659358724147051,0.0030360391179661385,-0.016388379100621162,0.03251091923588775
Musical Youth,-0.3156802398988064,-0.22483412408395856,0.14480266332646669,0.03565042310288804,-0.3660408654037231,0.07557998885767461,0.297433572663418,-0.3768349086257801,-0.1486933165072716,0.1506103504717217,0.18887675781443436,0.2076655201216189,0.18969116588891288,-0.007904787611091075,0.21896700632890878,-0.06039303828039868,-0.0792490131159885,-0.041437807120320205,0.07630016075097333,-0.04076368696471589,-0.03303069992325097,0.07704420287068918,-0.07558509953091556,-0.08545591523792379,-0.09172059254816672,-0.02620410009470694,0.12067491725471752,-0.19023072581956524,0.06320660591595799,0.0014595952405158975,-0.19652855005613776,0.10383839266254925,0.003050622596942206,0.05085844544190363,-0.09784934973721196,-0.02529843126815359,-0.03767659517616825,-0.10822844825074596,0.18191376516945706,0.1958151742738806
The Jesus and Mary Chain,0.3433457477371194,-0.004920959584847223,-0.03306751072536951,-0.19117430552686962,-0.24816428291456102,-0.016558181421356753,0.34216471487938843,0.2505079045632695,0.2542951440757205,-0.21114312357496756,-0.06581501750166079,-0.2603458544750136,0.12734463488700248,-0.08534289228791997,0.06921788189557875,0.141654396813182,0.07369588912382935,0.05906836402383158,0.30309012627111037,-0.0251957276734934,-0.0032619957051560605,-0.01993440335618709,0.08684515032983593,0.16203957165147712,0.16698239252698427,0.00717902621504727,0.06448142575864052,-0.126752498248546,0.031080320752120416,0.020528260097041458,-0.17355575148594443,0.11581049025653048,0.0023932509808753982,0.09586474268839164,-0.14863540343654041,-0.05387637398218454,-0.061164879072684135,-0.14537055090650994,0.19781067786069254,0.2148083398183442
Göran Söllscher,-0.011216901036947438,-0.18720267616008013,-0.1958131257310972,0.00997109105378106,-0.34580893360982656,-0.047918200179675026,-0.22891020224519998,-0.11773924068680092,-0.2623921440308099,0.1456325065427011,-0.1767350037129933,0.2593357544253994,-0.09507265835980043,-0.15928029709124106,0.02742774871946076,0.3486493196342837,0.08805700709905463,0.14993017721464624,0.3137831886510996,-0.07911033398807751,0.08348200560249541,-0.12901042321830675,-0.0059458377577827235,0.14587482375219332,0.2421550000967656,-0.08242638774690604,-0.20001956345317964,-0.0629549322287912,0.021418596002059583,-0.18933256011425043,0.091843713010444,-0.07527543713834108,-0.15285495269353847,-0.11009171760466348,0.08607693395387608,0.033056586541964895,0.0636539450528999,0.024487734232462397,0.06623033327606465,-0.016214033962230104
Ravi,0.054849398686685646,-0.02216645817412316,0.005339531647922599,-0.061146754873547184,0.0080690760416429,-0.029134359746369735,0.028825033546286034,0.00459877779630581,-0.0319175689931996,0.024391582505784125,0.011683588217635632,-0.028527582870628548,-0.09895035976463325,-0.04425619038360616,-0.10024785501857465,-0.004993087797892634,0.01781257073704764,-0.015104043525157101,0.05088202690859428,-0.17074116521355004,-0.12732678784480117,0.1271471337096249,-0.09699904720581833,0.059250818572140256,-0.06334802945754466,-0.025882291170864557,0.25417216519387914,0.23891259551990895,-0.5063075040318703,0.4098966005226771,0.08633132665757133,0.1284048646900988,0.009185261040703238,-0.013015027427129082,0.2331620794475698,0.2155701226916128,0.3640806620629652,-0.19493201449751452,0.1376454648491401,0.1540656753985168
DJ Nelson,0.08816098731915879,0.12016474046025351,0.12229260748635351,-0.032150020664603284,0.008173336971131095,-0.12146032101986631,-0.09795088352838606,0.02576366345190865,0.1749129115280696,0.2095644915480922,0.13123109272444067,-0.07218193704279847,0.14314221631249874,0.43107858334396704,-0.16509696299558627,0.020897723718530496,0.017058134346115607,0.1768721394839888,0.05834222835577537,0.10404733404306994,0.05864960779484532,0.08449447382655209,-0.19901534088307754,0.206790039219687,0.24750788258678486,0.039176545378558636,-0.1876589488249808,0.2040617173952714,-0.13080053089766433,-0.11403469370333737,0.32916473698577764,0.12039357868521507,0.01835613730416787,0.1246730175744219,-0.07478610876690037,-0.0632150584489199,-0.07786708987641576,-0.019644903514583322,-0.27073716698483785,0.26303406956992587
Daya,-0.21098568730107325,0.15376892137275958,0.24852025996140872,0.18424223354689653,-0.0620514123017134,0.003441172132615067,0.24919843499096986,-0.28684674126217957,-0.12257895789172868,0.043945614058022095,0.0690323755727331,0.19605622690536698,0.3446781828097483,0.029949109286344217,0.3564316589257507,0.1159776372731719,0.03810111402235567,0.0033223404347167214,0.3204162903108591,0.025373607792361804,-0.030125663094343842,0.07616449256887488,-0.04526887078197277,-0.0522881058635229,-0.08779564002435804,-0.03766970384571152,0.12511542991121222,-0.15004025349814207,0.027647829919401144,0.0604321120780379,-0.1780026849817547,0.10239222585560016,-0.012687228914063762,-0.11354507837050526,-0.1264039045252993,-0.10754553070431208,-0.14544733096798318,-0.09601324887247911,0.1998053196317086,0.2156342080897979
Kual,0.011660111787305949,-0.0015391818238704217,0.00034426215964795975,0.023542554134955783,0.013143179245624885,-0.0044140050565950675,0.014333400013425637,-0.006752833877001397,-0.006608256515108447,0.0014482492579241306,0.011173280240026881,-0.008056490929188045,-0.00043354170671608015,-0.007036958862130964,-0.010741540018119071,0.020781871684666078,0.027601944097626334,0.005946918107013005,-0.02103956911576144,-0.0030030383038736575,-0.003942958273388398,-0.001296983231056902,-0.006566409559268682,-0.007407954506879734,0.006089074157905472,0.021307173844034907,-0.003247775386368258,-0.0066921011985248404,-0.012753881960046554,0.019299323478180284,0.0019380531729918475,-0.007988892351007547,-0.007860957940366073,-0.0711666734647005,-0.44517760230097914,-0.5021803751466261,0.6537037424263501,0.33371663356395137,0.010864503737451372,0.03478739075996718
