,artists,songs
8998,Khan,"[""Ain't Nobody"", ""I'm Every Woman"", 'I Feel for You', 'Like Sugar', 'Through the Fire', ""I'm Every Woman"", 'Love Me Still', 'Fate - WSM Compilation Edit', 'Move Me No Mountain', 'Nobody (with Chaka Khan)']"
17896,Varnay,"[""Andrea Chénier / Act 1: Il giorno intorno già s'insera lentamente! ... Via,"", 'Andrea Chénier / Act 1: Passiamo la sera allegramente! ... O Pastorelle addio!', 'Andrea Chénier / Act 1: Soffoco, moro tutta chiusa', 'Andrea Chénier / Act 1: Perdonatemi! ... La notte il giorno portiamo', 'Andrea Chénier / Act 1: Al mio dire perdono', 'Siegfried, WWV 86c, Act II: Act II Scene 2: Ha ha! Da hatte mein Lied (Siegfried, Fafner)', 'Götterdämmerung, Act III: Siegfried, Siegfried erschlagen', 'Götterdämmerung / Prologue: ""Zu neuen Taten, teurer Helde"" - ""O heilige Götter"" (Brünnhilde, Siegfried)', 'Götterdämmerung / Dritter Aufzug: ""Starke Scheite schichtet mir dort""', ""Die Walkure: Act III: Frag' deine Tat (Wotan)""]"
15367,St James,"[""Battle Is the Lord's"", 'TOGETHER (Acoustic Version)', 'Dawn', ""Battle Is the Lord's - Live"", 'Breathe', 'Wait For Me', 'God', 'God Of Wonders', 'Above All', 'You Make Everything Beautiful']"
10460,MaRLo,"[""Burn 'Em All"", 'Giving You Up', 'Giving You Up - Acoustic', 'Sober as a Drunk', ""Leavin' to Me"", 'Take You Up On It', ""Goin' There Today"", 'Hungover', 'Sober as a Drunk - Radio Edit']"
17010,The Soul Searchers,"[""Bustin' Loose"", ""If It Ain't Funky"", ""It Don't Mean a Thing - If It Don't Have the Go Go Swing - Live"", 'Run Joe', 'Never Gonna Give You Up', 'Blow Your Whistle', ""Ashley's Roach Clip"", ""Moody's Mood - Live"", 'Woody Woodpecker - Live', 'Family Affair - Live']"
17434,Tommy Bolin,"[""Bustin' Out For Rosey"", 'Sweet Burgundy', 'Stratus - Remix/Single Edit', 'Wild Dogs', ""Bustin' out for Rosey - Alternate Version"", 'Hello Again - Outtake - No Strings', 'Teaser', 'Gypsy Soul - Outtake', 'Shake the Devil - Alternate Mix', 'People People']"
10447,MINO,"[""Can't Get You out of My Head"", 'Real Groove - Studio 2054 Remix', 'Magic', 'Real Groove (feat. Dua Lipa) - Studio 2054 Initial Talk Remix', 'In Your Eyes', 'Real Groove', 'Where the Wild Roses Grow - 2011 - Remaster', 'Say Something', 'The Loco-Motion', 'Spinning Around']"
13234,Pr,"[""Can't Help Falling in Love"", 'Suspicious Minds', 'Jailhouse Rock', 'Burning Love', 'Hound Dog', 'Always On My Mind', 'In the Ghetto', 'A Little Less Conversation - JXL Radio Edit Remix', ""(You're The) Devil In Disguise"", 'Always on My Mind - with The Royal Philharmonic Orchestra']"
14281,Ryan,"[""Can't Hold Us - feat. Ray Dalton"", 'Wing$', 'Same Love - feat. Mary Lambert', 'Otherside (feat. Fences) [Ryan Lewis Remix]', 'Neon Cathedral - feat. Allen Stone', 'Gold - feat. Eighty4 Fly', 'Ten Thousand Hours', 'Cowboy Boots', 'BomBom - feat. The Teaching', 'Vipassana (Ryan Lewis Remix)']"
14290,Ryan Lewis,"[""Can't Hold Us - feat. Ray Dalton"", 'Wing$', 'Same Love - feat. Mary Lambert', 'Otherside (feat. Fences) [Ryan Lewis Remix]', 'Neon Cathedral - feat. Allen Stone', 'Gold - feat. Eighty4 Fly', 'Ten Thousand Hours', 'Cowboy Boots', 'BomBom - feat. The Teaching', 'Vipassana (Ryan Lewis Remix)']"
14294,Ryan R,"[""Can't Hold Us - feat. Ray Dalton"", 'Wing$', 'Same Love - feat. Mary Lambert', 'Otherside (feat. Fences) [Ryan Lewis Remix]', 'Neon Cathedral - feat. Allen Stone', 'Gold - feat. Eighty4 Fly', 'Ten Thousand Hours', 'Cowboy Boots', 'BomBom - feat. The Teaching', 'Vipassana (Ryan Lewis Remix)']"
16724,The Marshall Tucker Band,"[""Can't You See"", 'Fire on the Mountain', 'Heard It in a Love Song', 'Take the Highway', ""This Ol' Cowboy"", ""Searchin' for a Rainbow"", 'See You One More Time', 'Fly Eagle Fly', 'Desert Skies', 'Virginia']"
18152,Warlock,"[""Capriol Suite: 5. Pied-en- l'air"", 'Capriol Suite: 2. Pavane', ""Pieds-en-l'air from Capriol Suite for String Orchestra"", 'Bethlehem Down', 'Capriol Suite: 1. Basse-danse', ""Capriol Suite: V. Pieds-en-l'air"", ""Dance (Pieds-en-l'air)"", 'Capriol Suite: 4. Bransles', 'Capriol Suite: 6. Mattachins (Sword Dance)', 'Warlock: Capriol Suite for Strings: I. Basse-Danse. Allegro moderato']"
899,Angela Ro Ro,"[""Carmen, Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons)"", 'Il Trovatore / Act 3: ""Di quella pira""', 'Puccini: Gianni Schicchi: ""O mio babbino caro"" (Lauretta)', 'Bellini: Norma, Act 1 Scene 4: No. 4b, Aria, ""Casta diva"" (Norma, Chorus)', 'Stein / Arr. Calandrelli: Sanie cu zurgalai', 'Massenet: Manon, Act 3 Tableau 1 Scene 4: ""Obéissons, quand leur voix appelle … Profitons bien de la jeunesse"" (Manon, Brétigny, Chorus) - Gavotte', 'La traviata / Act 2: ""Alfredo, Alfredo, di questo core""', 'La Wally / Act 1: ""Ebben? Ne andrò lontana""', 'Puccini: Madama Butterfly, Act 1: ""Gran ventura"" (Butterfly, Pinkerton, Sharpless, Goro, Chorus)', 'Copacul']"
15176,Sofia Carson,"[""Chillin' Like a Villain"", 'Night Falls', 'Different World (feat. CORSAK)', ""It's Goin' Down"", 'Ways to Be Wicked', 'Rotten to the Core', 'Miss U More Than U Know (with R3HAB)', 'Space Between', 'You and Me', 'One Kiss']"
13867,Rickie Lee Jones,"[""Chuck E's in Love - 45 Version"", 'Easy Money', 'The Moon Is Made of Gold', 'On Saturday Afternoons in 1963 - 45 Version', 'The Horses', 'Woody and Dutch on the Slow Train to Peking', 'Dat Dere', 'Under the Boardwalk', 'It Must Be Love', ""Danny's All-Star Joint""]"
10366,Lynn,"[""Coal Miner's Daughter - Single Version"", 'Louisiana Woman, Mississippi Man', ""Don't Come Home A-Drinkin' (With Lovin' On Your Mind)"", ""You Ain't Woman Enough"", 'Fist City', 'Blue Kentucky Girl', 'Lovesick Blues (with Patsy Cline)', 'Still Woman Enough (feat. Reba McEntire & Carrie Underwood)', 'Silver Threads and Golden Needles', ""It Wasn't God Who Made Honky Tonk Angels""]"
3299,Climax Blues Band,"[""Couldn't Get It Right"", 'I Love You', ""Hey Baby, Everything's Gonna Be Alright, Yeh Yeh Yeh"", 'Together and Free', ""Couldn't Get It Right"", ""Couldn't Get It Right"", 'Gotta Have More Love', 'Mighty Fire', 'Straight Down The Middle', 'Mole On the Dole']"
5868,Frankie Miller,"[""Darlin' - 2011 Remaster"", 'Caledonia', 'Be Good to Yourself - 2011 Remaster', 'After All (I Live My Life) - 2011 Remaster', ""Why Don't You Spend the Night - 2004 Remaster"", 'It Gets Me Blue', 'Jealous Guy - 2011 Remaster', ""I Can't Change It"", 'A Fool in Love - 2011 Remaster', 'The Ghost']"
9027,Kiki Dee,"[""Don't Go Breaking My Heart"", ""I've Got the Music in Me"", 'Amoureuse', 'True Love', 'Star', ""Don't Go Breaking My Heart - Live at Live Aid, Wembley Stadium, 13th July 1985"", ""Don't Go Breaking My Heart"", 'Loving & Free', 'Snow Queen', 'Someone to Me']"
17303,Til,"[""Don't"", 'Exchange', 'Playing Games (with Bryson Tiller) - Extended Version', 'Right My Wrongs', 'Outta Time (feat. Drake)', 'THRU THE NIGHT (feat. Bryson Tiller)', '7:00', 'Blame', 'By Yourself (feat. Bryson Tiller, Jhené Aiko & Mustard) - Remix', 'Love... (Her Fault) [feat. Bryson Tiller]']"
11474,Miranda Lambert,"[""Drunk (And I Don't Wanna Go Home)"", 'Bluebird', 'Settling Down', ""Mama's Broken Heart"", 'The House That Built Me', ""Somethin' Bad (with Carrie Underwood) - (Duet with Carrie Underwood)"", 'Gunpowder & Lead', 'Tin Man', 'Tequila Does', 'Automatic']"
17282,Thurl Ravenscroft,"[""Ev'rybody Wants to Be a Cat"", ""You're A Mean One, Mr. Grinch"", 'Grim Grinning Ghosts - From ""The Haunted Mansion""', 'Yo Ho (A Pirate\'s Life For Me) - From ""Pirates of the Caribbean""', 'The Tiki, Tiki, Tiki Room', ""You're A Mean One, Mr. Grinch"", ""That's What Friends are For (The Vulture Song)"", ""Ev'rybody Wants to Be a Cat - Original Soundtrack Version"", 'Tuba, Harpsichord, and Vocal', ""You're A Mean One, Mr. Grinch - Reprise""]"
3403,Company B,"[""Feel like Makin' Love - 2015 Remaster"", 'Bad Company - 2015 Remaster', 'Shooting Star - 2015 Remaster', ""Can't Get Enough - 2015 Remaster"", ""Rock 'n' Roll Fantasy - 2009 Remaster"", 'If You Needed Somebody', 'Ready for Love - 2015 Remaster', 'Silver, Blue & Gold - 2017 Remaster', 'Feel Like Making Love', 'Seagull - 2015 Remaster']"
3402,Company,"[""Feel like Makin' Love - 2015 Remaster"", 'Bad Company - 2015 Remaster', 'Shooting Star - 2015 Remaster', ""Can't Get Enough - 2015 Remaster"", ""Rock 'n' Roll Fantasy - 2009 Remaster"", 'If You Needed Somebody', 'Ready for Love - 2015 Remaster', 'Silver, Blue & Gold - 2017 Remaster', 'Feel Like Making Love', 'Seagull - 2015 Remaster']"
13949,Robert Earl Keen,"[""Feelin' Good Again"", 'Corpus Christi Bay', 'The Road Goes On Forever', 'I Gotta Go', 'The Front Porch Song', 'Gringo Honeymoon', 'Feeling Good Again', 'Copenhagen', 'East Virginia Blues', 'Dreadful Selfish Crime']"
6797,Hank Ballard & The Midnighters,"[""Finger Poppin' Time"", ""Finger Poppin' Time"", 'The Twist', 'Nothing But Good', ""Let's Go, Let's Go, Let's Go"", 'Work With Me Annie', ""Let's Go Again"", 'The Continental Walk', 'Get It', ""Let's Go, Let's Go, Let's Go""]"
17397,Tom Browne,"[""Funkin' for Jamaica"", 'Thighs High (Grip Your Hips and Move)', 'Charisma', 'Forever More', 'Her Silent Smile', 'Brighter Tomorrow', 'Throw Down', 'Just Work - radio edit', ""Dreams Of Lovin' You"", 'Bye Gones']"
17189,The Young Rascals,"[""Groovin'"", ""Good Lovin' - Single Version"", 'How Can I Be Sure - Single Version; Mono', ""I've Been Lonely Too Long - Single Version"", 'Lonely Too Long', 'A Girl Like You - Mono', 'How Can I Be Sure - Single Version', 'In the Midnight Hour', 'In the Midnight Hour', ""I Ain't Gonna Eat out My Heart Anymore - Single Version""]"
11278,Michael Stanley Band,"[""He Can't Love You (Remastered)"", 'Lover (Remastered)', 'My Town (Remastered)', 'Falling in Love Again (Remastered)', ""Let's Get the Show On the Road - Live"", 'Rosewood Bitters - Live', 'Midwest Midnight - Live', 'All I Ever Wanted (Remastered)', ""Nothing's Gonna Change My Mind - Live"", 'Working Again (Remastered)']"
