name,i,the,you,to,and,a,me,it,not,in,my,is,of,your,that,do,on,are,we,am,will,all,for,no,be,have,love,so,know,this,but,with,what,just,when,like,now,que,time,can,come,de,there,go,up,oh,la,one,they
Lena Philipsson,23.0,5.0,13.0,10.0,4.0,9.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,7.0,0.0,3.0,2.0,5.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shawn Colvin,0.0,36.0,25.0,2.0,8.0,2.0,1.0,6.0,0.0,8.0,0.0,5.0,19.0,17.0,5.0,0.0,2.0,17.0,0.0,0.0,2.0,2.0,7.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
Dying Fetus,0.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Emery,20.0,8.0,15.0,4.0,5.0,6.0,2.0,9.0,12.0,2.0,2.0,7.0,1.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,8.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
Rev. Timothy Wright,24.0,1.0,15.0,4.0,4.0,0.0,4.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0
Martin Sexton,30.0,15.0,4.0,6.0,15.0,5.0,3.0,13.0,11.0,6.0,5.0,2.0,2.0,0.0,8.0,13.0,2.0,1.0,14.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,2.0,0.0,10.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,2.0,0.0
Christian Castro,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Aerosmith,23.0,1.0,13.0,2.0,2.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,13.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Kreator,0.0,12.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Toots & The Maytals,6.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
