,0,1,2,3,4,5,6,7,8,9
"""Cats"" 1981 Original London Cast","""SCP Series"" by The SCP Foundation:
    List of SCPs
    001 to 099
    SCP-001 - Awaiting De-classification (Blocked)
    SCP-002 - The ""Living"" Room
    S...","""James MacTaggart Memorial Lecture 2013"" by Kevin Spacey:
    Actor Kevin Spacey said the new generation of viewers use internet services, and television bosses m...","""James MacTaggart Memorial Lecture 2013"" by Kevin Spacey:
    Actor Kevin Spacey said the new generation of viewers use internet services, and television bosses m...","""SCP Series"" by The SCP Foundation:
    List of SCPs
    001 to 099
    SCP-001 - Awaiting De-classification (Blocked)
    SCP-002 - The ""Living"" Room
    S...","""SCP Series"" by The SCP Foundation:
    List of SCPs
    001 to 099
    SCP-001 - Awaiting De-classification (Blocked)
    SCP-002 - The ""Living"" Room
    S...","""SCP Series"" by The SCP Foundation:
    List of SCPs
    001 to 099
    SCP-001 - Awaiting De-classification (Blocked)
    SCP-002 - The ""Living"" Room
    S...","""A Grave for New York"" by Adonis (Ali Ahmad Said):
    1
    So far,
    the Earth has been drawn as a pear –
    I mean a breast –
    But, nothing between a breast and a...","""A Grave for New York"" by Adonis (Ali Ahmad Said):
    1
    So far,
    the Earth has been drawn as a pear –
    I mean a breast –
    But, nothing between a breast and a...","""SCP Series"" by The SCP Foundation:
    List of SCPs
    001 to 099
    SCP-001 - Awaiting De-classification (Blocked)
    SCP-002 - The ""Living"" Room
    S...","""The Book of Noodles: Chapter 5"" by W. A. Clouston:
    CHAPTER V.
    THE SILLY SON.
    AMONG the favourite jests of all Peoples, from Iceland to Japan, from Indi..."
"""Weird Al"" Yankovic",,,,,,"""Word Crimes"" by “Weird Al” Yankovic:
    Everybody shut up! (Woo!)
    Everyone listen up!
    Hey, hey, hey
    Hey, hey, hey (Uh, woo!)
    Hey, hey, hey (...","""New Music Friday 10/16/20"" by Spotify:
    Lonely (with benny blanco) - Justin Bieber
    By Yourself (feat. Jhené Aiko & Mustard) - Ty Dolla $ign
    ...","""The Hamilton Polka"" by “Weird Al” Yankovic:
    How does a bastard, orphan, son of a whore and a
    Scotsman, dropped in the middle of a forgotten
    Spot...","""Fat"" by “Weird Al” Yankovic:
    Your butt is wide, well mine is too
    Just watch your mouth or I'll sit on you
    The word is out, better...","""Foil"" by “Weird Al” Yankovic:
    I never seem to finish all my food
    I always get a doggie bag from the waiter
    So I just keep what's s..."
$NOT,"""February 2020 Singles Release Calendar"" by Genius:
    2/1
    FELIX SANDMAN - ""BOYS WITH EMOTIONS""
    GARZI - ""Califoria (Demo)""
    Malou Prytz - ""Ballerina""
    Rob Ma...","""RapCaviar 4/16/21"" by Spotify:
    1. Young Stoner Life, Young Thug & Gunna- Solid (feat. Drake)
    2. Polo G- RAPSTAR
    3. Drake- Wants and...","""March 2021 Singles Release Calendar"" by Genius:
    3/1
    88rising, ATARASHII GAKKO! & Warren Hue - ""Freaks""
    Bad Computer - ""Destroy Me""
    Charlotte Lawrenc...","""New Music Friday 09/20/19"" by Spotify:
    Maroon 5 - Memories
    DaBaby - INTRO
    Lauv - Feelings
    blink-182 - Pin the Grenade
    Liam Payne - Stack It...","""RapCaviar 3/19/21"" by Spotify:
    1. Drake- What's Next
    2. Lil Tjay- Headshot (feat. Polo G & Fivio Foreign)
    3. Pooh Shiesty- Back In ...","""September 2020 Singles Release Calendar"" by Genius:
    9/1
    Actress - ""Walking Flames"" ft. Sampha
    Allan Kingdom - ""EXCITED""
    Gabi DeMartino - ""Champagne Drea...","""March 2020 Album Release Calendar"" by Genius:
    3/2
    Deko - Moonkid Mondays, Vol. 1 - 6/7
    Drakeo the Ruler - Free Drakeo - 11/14
    Xavier Wulf & BONES ...","""RapCaviar 2/12/21"" by Spotify:
    1. DaBaby- Masterpiece
    2. Pooh Shiesty- Back In Blood (feat. Lil Durk)
    3. Lil Baby- On Me
    4. Nipsey ...","""February 2021 Singles Release Calendar"" by Genius:
    2/1
    A$AP Rocky - ""G-Unit Rice""
    Drakeo the Ruler - ""Too Icey""
    Joey Trap - ""BIRDIES""
    KILL.ZERO - "".:HA...","""RapCaviar 12/11/20"" by Spotify:
    1. Jack Harlow- Way Out (feat. Big Sean)
    2. Juice WRLD & The Kid LAROI- Reminds Me Of You
    3. Pop Smo..."
$atori Zoom,"""BUSTER"" by $atori Zoom:
    Rider. Buster. You need it. I bleed it
    Geekin’ off a perc and bitch I’m feelin’ like a demon
    Bitch I...","""RIPSTICK"" by $atori Zoom:
    Rip it like a Razor Ripstick and I risk it
    Instinct. She suckin’ my dick with her lipstick
    Ooh. Chec...","""LOCK OUT"" by $atori Zoom:
    Ima Lock Out
    Ima go low with a foe. Ima pop out
    Men go low to the floor with my Glock out
    Don’t you ...","""BARRACUDA"" by $atori Zoom:
    She call me Luda bitch I rollout with my shooters
    She wanna fuck me in a Plymouth Barracuda
    I got my...","""REVENGE"" by $atori Zoom:
    Caught him in the beamer and I had to 2Pac him
    Ima pull up wit a Glock, wrist watch, ima rock em
    Aye...","""Honey"" by $atori Zoom:
    Ay
    Ay
    When we fuckin' all night lil shawty throw it back
    I be hittin like mike when i'm oozy off a j...",,,,"""PINK DOLPHIN"" by $atori Zoom:
    With my Glock, yea i'm fuckin' hot, I don't fuck with opps
    Ima stop, I get sloppy top, like a lollip..."
'In The Heights' Original Broadway Company,"""Chapter 5: A Kind of Revolution"" by Howard Zinn:
    The American victory over the British army was made possible by the existence of an already- armed p...","""Song of Myself"" by Walt Whitman:
    1
    I celebrate myself, and sing myself,
    And what I assume you shall assume,
    For every atom belonging ...",,,"""Batman (Revised First Draft)"" by Tom Mankiewicz:
    THE BATMAN
    					Revised First Draft Screenplay
    							    by
    						   Tom Mankiewicz
    											   J...","""Epilogue"" by Alex Haley:
    During nineteen fifty-nine, when the public was becoming aware of the Muslims after the New York tel...","""Big Red Son"" by David Foster Wallace:
    THE AMERICAN ACADEMY of Emergency Medicine confirms it: Each year, between one and two dozen adult U...",,"""Epilogue"" by Alex Haley:
    During nineteen fifty-nine, when the public was becoming aware of the Muslims after the New York tel...","""Big Red Son"" by David Foster Wallace:
    THE AMERICAN ACADEMY of Emergency Medicine confirms it: Each year, between one and two dozen adult U..."
((( O ))),"""This Is Drake"" by Spotify:
    1. Drake- What's Next
    2. Drake- Wants and Needs (feat. Lil Baby)
    3. Drake- Lemon Pepper Freestyle (f...","""On Me"" by Smokepurpp:
    Little bitch wanna come fuck me
    I'm like, ""Ho, come count it up""
    Two hoes in my cup
    Keep that pistol...","""LIFESTYLE"" by Dinhouz Smacker:
    1º Verso:
    Eu não tenho tudo que eu quero
    Mas com pouco estou a saber lidar
    Minha vida sempre foi um ...","""Rap Life 3/5/2021"" by Apple Music:
    1. Drake- What's Next
    2. Lil Baby- Real As It Gets (feat. EST Gee)
    3. Moneybagg Yo- Time Today
    4. Dr...","""New Music Friday 05/01/20"" by Spotify:
    Drake - Pain 1993 (with Playboi Carti)
    Marshmello - Be Kind (with Halsey)
    Megan Thee Stallion - Sava...","""Toledo Surprise"" by Original Broadway Cast of The Drowsy Chaperone:
    Chop the nuts
    Pound the dough
    Bake it up
    Nice and slow
    Then you got a Toledo
    Toledo Surprise
    
    Now se...","""O-State"" by Fame Frasier:
    Boy I'm reppin' that 580
    Shouts out to that 405
    Can't forget that 918
    Oklahoma my state
    
    I rep that ...","""Don’t Be Mad @ Me"" by Daramola:
    VERSE
    While Cities are burning
    While Nights are turning cold
    Don’t you know
    You'll have my heart gir...","""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Different Day"" by NLE Choppa:
    LeeBoy on the track
    NLE, Top Shotta, got the bomb like Al-Qaeda
    Ayy-ayy, ayy-ayy, wo-o-woah-woah, oh..."
(EM),"""Juice WRLD - Lucid Dreams (Tradução em Português)"" by Genius Brasil Traduções:
    Enviyon no mix
    Não, não, não, não
    Não-não, não, não, não
    Não, não, não, não, não
    Não, não, não, não
    ...","""1984"" by Sadistik:
    1984
    Everybody’s talking in that newspeak
    Hiding all my thoughts in a loose leaf
    1984
    You can always...","""All Eyes On Me"" by AKA:
    Up to de time dem fi no say
    Burna man king de original Nigerian
    Don Gorgon riding true man hustle wi...","""Juice WRLD - All Girls Are the Same (Tradução em Português)"" by Genius Brasil Traduções:
    Mhm, elas estão apodrecendo meu cérebro, amor
    Essas putas são iguais
    
    Eu admito, outra puta me deixo...","""Cereal (Remix)"" by Steven Malcolm:
    I need some Fruit Loops
    Maybe some Lucky Charms
    Never can have too much
    Cinnamon Toast Crunch
    I'm ta...","""We Dem"" by Rico Richie:
    Niggas don't know, where they really can see
    And them niggas won't go, where they wanna be
    And I rea...","""August 2020 Singles Release Calendar"" by Genius:
    8/1
    Rob Markman - ""Easy Money Sniper""
    vowl. & Take/Five - ""sonar""
    wiley hopkins - ""honey, i just""
    YS...","""4th King"" by Brother Ali:
    Shit, you know a new hot beat come out and everybody gotta jump on the bandwagon on that trendy shit...","""June 2020 Singles Release Calendar"" by Genius:
    6/1
    Conway the Machine - ""Front Lines""
    Dan Bull - ""Gamers Without Borders""
    Eric Bellinger - ""Enough""...","""Tapedeck Blues"" by Outasight:
    Another case of the Tapedeck Blues
    A sad old song that reminds me of you, and
    Don't wanna hear about..."
*spandrel,,"""Hip Hop Never Left"" by Psycho Les:
    I am Les your highness
    That’s right
    My niggas The Beatnuts we’re shaking
    Pete Rock
    
    Yow you hear a l...","""Rap DZ 2020 إصدارات الراب الجزائري"" by Genius Arabia:
    : ألبومات / Albums
    98Squad - Ep Notif
    213 - cake season EP
    Adel Sweezy - Album Help
    Anis ZNK - Album...","""“A Handmaid’s Tale Study Guide”"" by Study Guide:
    Themes: 
    -Suicide
    -Gender Roles
    -Time
    -Traditional Values
    -Culture
    -Freedom ""from"" v. ""to""
    -Oppressi...",,"""Deadpool Script"" by 20th Century Fox:
    OPENING CREDITS
    CUT TO: TAXI
    Deadpool sits in the back of a taxi cab. He takes a pamphlet for ‘Haunt...","""Hip Hop Never Left"" by Psycho Les:
    I am Les your highness
    That’s right
    My niggas The Beatnuts we’re shaking
    Pete Rock
    
    Yow you hear a l...","""Tinbergen’s four questions: an appreciation and an update"" by Patrick Bateson and Kevin N. Laland:
    This year is the 50th anniversary of Tinbergen’s (1963) article ‘On aims and methods of ethology’, w...","""The Task"" by William Cowper:
    THE TASK.
    
    BOOK I.
    THE SOFA.
    [""The history of the following production is briefly this:--A lady,
    fon...","""Tinbergen’s four questions: an appreciation and an update"" by Patrick Bateson and Kevin N. Laland:
    This year is the 50th anniversary of Tinbergen’s (1963) article ‘On aims and methods of ethology’, w..."
03 Greedo,"""Substance"" by 03 Greedo:
    Hey, 03
    Yeah
    
    We woke up
    Intoxicated off of all types of drugs
    I'm never sober each time I'm in love...","""Trap House"" by 03 Greedo:
    Yeah, trap house
    I'ma hang out in the trap house
    Mustard on the beat, ho
    I’ma take you there
    
    No she...","""Sweet Lady"" by 03 Greedo:
    It's only one, 03
    
    I'm from Grape Street, where we G-slide
    (G-slide and hit your Ricky ass)
    Sweet Sh...","""Substance (We Woke Up)"" by 03 Greedo & Wiz Khalifa:
    Yeah, 03
    Yeah, yeah, yeah
    (Beat Boy taught me)
    
    We woke up (We woke up)
    Intoxicated off of all type ...","""Run for Yo Life"" by 03 Greedo:
    03, yeah, yeah
    
    I been sleeping with your girlfriend, same time you're doing time
    I been on the othe...","""Disco Shit"" by 03 Greedo & Kenny Beats:
    Used to traffic cocaine
    Fuck fame, fuck fame (Mm, money isn't real George)
    This is pure Colombian co...","""Never Bend (Remix)"" by 03 Greedo:
    Yeah
    You lil' bitch ass niggas steady speaking up on the low
    If these project walls could talk
    They'...","""Rude"" by 03 Greedo:
    Ooh
    03 (Joog)
    
    I don't mean to be rude (Ayy)
    I don't mean to be out of line
    I been losing my cool (R...","""In the Morning"" by 03 Greedo:
    Mustard on the beat, ho
    
    Roll my weed and suck me in the morning
    Rolled over and fuck me when I'm ho...","""Run It Back"" by Shoreline Mafia:
    (AceTheFace)
    We was gettin' money, we was gettin' money
    (Joog)
    (Take some of that bass out, Bruce)
    Y..."
070 Shake,"""Guilty Conscience"" by 070 Shake:
    My mind won't let me rest, voice in my head
    I hear what it says, I can't trust a thing
    If I picked u...","""Guilty Conscience (Tame Impala Remix)"" by 070 Shake & Tame Impala:
    My mind won't let me rest, voice in my head
    I hear what it says, I can't trust a thing
    My mind won't...","""Honey"" by 070 Shake:
    Shake that, shake that, shake that, shake that
    Shake that ass, Julz
    
    We haven't talked in months
    Fun...","""Morrow"" by 070 Shake:
    An early mornin', no clouds up in the sky
    She's paranoid, but still she don't know why, yeah
    But sti...","""Glitter"" by 070 Shake:
    Sebastian
    If this lasts longer than the song or the nightclub, I don't know
    It wasn't made for you t...","""Use Me"" by PVRIS:
    There's something about you
    It's not that I doubt you
    Angels circle around you
    'Cause you shouldn't ...","""Under The Moon"" by 070 Shake:
    How they got inside, oh, really, I don't know
    Can't keep lettin' randoms up inside your home
    You dri...","""Said"" by 070 Beheard & 070 Shake:
    Ooh, I remember you said
    Ooh, I remember you said
    Ooh, I remember you said
    Ooh, I remember you said
    ...","""Flight319"" by 070 Shake:
    No pigmentation, giving you the blues
    Suffering from FOMO, she could come, too
    Screaming out YOLO,  ...","""Nice To Have"" by 070 Shake:
    It's nice to have someone to hold you
    Tell you they chose you
    Someone you can't fool 'cause they kno..."
