,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL,Artist URL,Length
1,1,"""Weird Al"" Yankovic",0.1868205660377359,0.6507924528301889,218352.96226415093,0.6931886792452833,4.490830188679244e-05,0.1609264150943397,-9.691150943396226,0.0822754716981132,132.87660377358483,0.7645849056603775,32.867924528301884,9,1,106,"['comedy rock', 'comic', 'parody']","['Amish Paradise (Parody of ""Gangsta\'s Paradise"" by Coolio)', 'White & Nerdy (Parody of ""Ridin\'"" by Chamillionaire feat. Krayzie Bone)', 'Captain Underpants Theme Song', 'The Saga Begins (Lyrical Adaption of ""American Pie"")', 'Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)', 'Word Crimes', 'The Hamilton Polka', 'Who’s Gonna Stop Me (feat. ""Weird Al"" Yankovic)', 'Fat', 'Foil']",553567,61,1bDWGdIC2hardyt55nlQgG,https://i.scdn.co/image/b0813085ef7141d31b47442be05647b7950fba2e,https://open.spotify.com/artist/1bDWGdIC2hardyt55nlQgG,10
3,3,$atori Zoom,0.239,0.883,141519.0,0.625,0.0,0.0765,-4.098,0.245,126.677,0.871,69.0,6,1,2,"['dark trap', 'meme rap']","['BUSTER', 'RIPSTICK', 'LOCK OUT', 'BARRACUDA', 'REVENGE', 'HONEY', 'WOKSTAH', 'L.A. DRIFT', 'TAPOUT', 'PINK DOLPHIN']",28171,62,75RLThQWzIgIM7Jtp6KZic,https://i.scdn.co/image/ab6761610000e5eb5c2a22f5b556154dbb36422a,https://open.spotify.com/artist/75RLThQWzIgIM7Jtp6KZic,10
6,6,'Legally Blonde' Ensemble,0.598,0.6296666666666667,208493.66666666663,0.5099999999999999,0.0,0.251,-10.526666666666667,0.6076666666666667,95.09033333333336,0.5163333333333333,51.66666666666666,2,1,3,"['broadway', 'hollywood', 'show tunes']","['There! Right There!', 'So Much Better', 'Bend and Snap', 'Chip on My Shoulder', 'Whipped into Shape', 'Legally Blonde - Remix', 'Blood in the Water', 'Find My Way / Finale', 'The Harvard Variations']",1058,51,1ZjOjsdLODMZvBJol77xMW,,https://open.spotify.com/artist/1ZjOjsdLODMZvBJol77xMW,9
10,10,(G)I-DLE,0.026794,0.534,193085.6,0.8298,2.328e-06,0.1688799999999999,-3.9508,0.06104,130.4178,0.3534,76.6,6,0,5,"['k-pop', 'k-pop girl group']","['MORE', 'POP/STARS', 'THE BADDEST', 'HWAA', 'Oh my god', 'LION', 'DUMDi DUMDi', 'LATATA', 'Uh-Oh', 'HANN (Alone)']",2472332,76,2AfmfGFbe0A0WsTYm0SDTx,https://i.scdn.co/image/6744b6a37d1c29cb5fc626795106257549730724,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,10
11,11,(Hed) P.E.,0.0059933333333333,0.5936666666666667,261253.33333333328,0.8956666666666667,3.3766666666666664e-06,0.1281999999999999,-5.162999999999999,0.0952333333333333,110.925,0.413,45.33333333333334,6,1,6,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']","['Raise Hell', 'Bartender', 'Wake Up', 'Renegade', 'Ken 2012', 'First Blood', 'Suck It Up', 'Lets Ride', 'Blackout', 'Killing Time']",145546,54,0xIChbcTsuYLueN1oEsX9v,https://i.scdn.co/image/3d909c1a5c556824621d644a22bc30ee3c755542,https://open.spotify.com/artist/0xIChbcTsuYLueN1oEsX9v,10
17,17,03 Greedo,0.14492,0.6446000000000001,244528.8,0.526,8e-07,0.1046599999999999,-9.2822,0.06656,83.8978,0.3567999999999999,66.0,3,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']","['Substance', 'Trap House (feat. Shoreline Mafia)', 'Sweet Lady', 'Substance (We Woke Up)', 'Run for Yo Life', 'Disco Shit', 'Never Bend (Remix) (feat. Lil Uzi Vert)', 'Rude', 'In The Morning', 'Run It Back (feat. 03 Greedo)']",266135,68,0FtsMKmZEq8fBWqdSOWtqp,https://i.scdn.co/image/39c8c10ee6c2bb609133f1f60ead9d1aa30f2258,https://open.spotify.com/artist/0FtsMKmZEq8fBWqdSOWtqp,10
20,20,10 Years,0.0011006666666666,0.452,213866.66666666663,0.7863333333333332,0.00011856,0.1058333333333333,-4.567333333333333,0.0472,145.14166666666668,0.2580000000000001,57.66666666666666,6,0,6,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']","['Wasteland', 'Fix Me', 'The Shift', 'Novacaine', 'Beautiful', 'The Unknown', 'Shoot It Out', 'So Long, Good-bye', 'Waiting', 'Fix Me (Acoustic)']",488372,61,0REMf7H0VP6DwfZ9MbuWph,https://i.scdn.co/image/2a86dfe63f95fe193fe785c2171825c68175b611,https://open.spotify.com/artist/0REMf7H0VP6DwfZ9MbuWph,10
22,22,100 gecs,0.13086,0.6257999999999999,128980.4,0.6900000000000001,0.0012239999999999,0.307,-5.9724,0.15116,108.326,0.7418,67.4,1,1,5,"['glitchcore', 'hyperpop']","['money machine', 'hand crushed by a mallet', 'stupid horse', 'ringtone', 'One Step Closer - 100 gecs Reanimation', 'ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]', 'hand crushed by a mallet (Remix) [feat. Fall Out Boy, Craig Owens, Nicole Dollanganger]', '800 db cloud', 'NEVER MET! - 100 gecs r3mix (feat. Glitch Gum)', 'bloodstains']",405479,68,6PfSUFtkMVoDkx4MQkzOi3,https://i.scdn.co/image/a9085156b6f4a83207b205fbbd7e730214dfb867,https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3,10
28,28,12 Stones,0.1190975,0.35925,201327.0,0.86875,4.1e-06,0.3275,-4.085000000000001,0.067375,126.05775,0.4232500000000001,54.25,5,1,8,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']","['Anthem For The Underdog', 'We Are One', 'World So Cold', 'Broken', 'Adrenaline', 'Lie To Me - Acoustic', 'Lie To Me', 'We Are One - WWE Mix', 'Crash', 'This Dark Day']",325495,56,0DrXhci3WAyo0WJv1RBOG6,https://i.scdn.co/image/bef08c843237dc804df766c618dd44cf6caa83f6,https://open.spotify.com/artist/0DrXhci3WAyo0WJv1RBOG6,10
35,35,2 Brothers On The 4th Floor,0.00328,0.701,263163.0,0.979,0.308,0.416,-4.8610000000000015,0.048,134.013,0.612,62.0,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']","['Dreams (Will Come Alive)', 'Never Alone', 'Come Take My Hand - Extended Version', 'Fairytales', 'Fly', 'Come Take My Hand', 'Let Me Be Free', 'Never Alone - Re-Style Remix', 'Living In Cyberspace - Radio Version', ""Can't Help Myself""]",65339,56,5wsBGjgRsASMggXLPF7pYm,https://i.scdn.co/image/ab67616d0000b2732573c0b5489d129494ed2df5,https://open.spotify.com/artist/5wsBGjgRsASMggXLPF7pYm,9
