,artists,genres,followers,Artist ID,Popularity Score,Image URL
0,"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']",552324,1bDWGdIC2hardyt55nlQgG,60,https://i.scdn.co/image/b0813085ef7141d31b47442be05647b7950fba2e
1,$atori Zoom,"['dark trap', 'meme rap']",27590,75RLThQWzIgIM7Jtp6KZic,62,https://i.scdn.co/image/ab6761610000e5eb5c2a22f5b556154dbb36422a
2,$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']",3138167,1VPmR4DJC1PlOtd0IADAO0,85,https://i.scdn.co/image/2d1e0c2edbb23b01d494b21a0ace0a56dfdae968
3,(G)I-DLE,"['k-pop', 'k-pop girl group']",2456936,2AfmfGFbe0A0WsTYm0SDTx,76,https://i.scdn.co/image/6744b6a37d1c29cb5fc626795106257549730724
4,*NSYNC,"['boy band', 'dance pop', 'europop', 'pop']",1480467,6Ff53KvcvAj5U7Z1vojB5o,71,https://i.scdn.co/image/c56cf0cc89c8ecfec7145cf065ea2006d0706605
5,03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",265027,0FtsMKmZEq8fBWqdSOWtqp,68,https://i.scdn.co/image/39c8c10ee6c2bb609133f1f60ead9d1aa30f2258
6,10 Years,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",486979,0REMf7H0VP6DwfZ9MbuWph,61,https://i.scdn.co/image/2a86dfe63f95fe193fe785c2171825c68175b611
7,100 gecs,"['glitchcore', 'hyperpop']",404286,6PfSUFtkMVoDkx4MQkzOi3,68,https://i.scdn.co/image/a9085156b6f4a83207b205fbbd7e730214dfb867
8,10cc,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",461478,6i6WlGzQtXtz7GcC5H5st5,65,https://i.scdn.co/image/bd85e05d8bb8ad24515a232174cbe20925048566
9,112,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",805763,7urq0VfqxEYEEiZUkebXT4,69,https://i.scdn.co/image/21a8b23a23a41f3736b2dd6a5df2d7dc8341ea05
10,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6271551,17lzZA2AlOHwCwFALHttmp,83,https://i.scdn.co/image/470dd77da564ec4cb352dcd2664ce31c337c0661
11,24hrs,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",171381,4isewEHTP7Az2QheDdBQ6J,64,https://i.scdn.co/image/ab6761610000e5eb49129bf407ab190bbb60d499
12,24kGoldn,['cali rap'],975121,6fWVd57NKTalqvmjRd2t8Z,87,https://i.scdn.co/image/f3f6ce3ff1651091cf10242150edca3cf2506a9a
13,2CELLOS,"['bow pop', 'cello', 'classify']",797345,6Fi8CHfO8WGtu3yO8c2Mc4,64,https://i.scdn.co/image/ab6761610000e5eb0d3a1c0e7f2e2664774ac4cd
14,2KBABY,['kentucky hip hop'],220089,4mkjpWbFO45SyaHiM9GOVE,67,https://i.scdn.co/image/ab6761610000e5eb0c6f5be876e0770763c2fa59
15,2NE1,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",1817155,1l0mKo96Jh9HVYONcRl3Yp,61,https://i.scdn.co/image/61845400bd0a61c5c1835fb133c91461ec160afc
16,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",10311655,1ZwdS5xdxEREPySFridCfh,83,https://i.scdn.co/image/fdb2382075f400ca2f2fbddaebb93add82ca8f32
17,3 Doors Down,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",3178374,2RTUTCvo6onsAnheUk3aL9,74,https://i.scdn.co/image/ead4e883a59d30d8c157385aa531d3fe8e688fc0
18,311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",720241,41Q0HrwWBtuUkJc7C1Rp6K,67,https://i.scdn.co/image/9db73e93d333b7b7bef62c42682379eb8356ea18
19,347aidan,['sad rap'],181760,0bBz5bRBkExaej2HxtVfCw,73,https://i.scdn.co/image/c96e50535a27c7e8e28f773fcc111ebdc9e8ea5b
20,38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",761316,3zXw2Eh96iTT51pytzHdZi,62,https://i.scdn.co/image/30a387423ed24633753a0c72bf5d57809c8cba9d
21,3LAU,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",310452,4YLQaW1UU3mrVetC8gNkg5,63,https://i.scdn.co/image/858a31c68b3379a0e7e64b81b74e6b3362cdddcd
22,3OH!3,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",748416,0FWzNDaEu9jdgcYTbcOa4F,69,https://i.scdn.co/image/b7b32fecb902c99e948b1b50916866d1a0ead5b3
23,4 Non Blondes,"['new wave pop', 'pop rock']",317119,0Je74SitssvJg1w4Ra2EK7,68,https://i.scdn.co/image/3cd1494789e29fbc85793f633def0ff7915c5872
